,resultId,raceId,name,year,circuitId,driverId,constructorId,starting_position,finishing_status,train_test,ending_position
20398,20398,340,Chinese Grand Prix,2010,17,4,6,3,1,1,4
20399,20399,340,Chinese Grand Prix,2010,17,9,4,8,1,1,5
20400,20400,340,Chinese Grand Prix,2010,17,20,9,1,1,1,6
20401,20401,340,Chinese Grand Prix,2010,17,808,4,14,1,1,7
20402,20402,340,Chinese Grand Prix,2010,17,17,9,2,1,1,8
20403,20403,340,Chinese Grand Prix,2010,17,13,6,7,1,1,9
20404,20404,340,Chinese Grand Prix,2010,17,30,131,9,1,1,10
20405,20405,340,Chinese Grand Prix,2010,17,16,10,10,1,1,11
20406,20406,340,Chinese Grand Prix,2010,17,22,3,11,1,1,12
20407,20407,340,Chinese Grand Prix,2010,17,153,5,12,1,1,13
20408,20408,340,Chinese Grand Prix,2010,17,5,205,21,1,1,14
20409,20409,340,Chinese Grand Prix,2010,17,807,3,16,1,1,15
20410,20410,340,Chinese Grand Prix,2010,17,811,164,23,1,1,16
20411,20411,340,Chinese Grand Prix,2010,17,812,164,24,1,1,17
20412,20412,340,Chinese Grand Prix,2010,17,15,205,20,2,1,0
20413,20413,340,Chinese Grand Prix,2010,17,810,166,22,2,1,0
20414,20414,340,Chinese Grand Prix,2010,17,37,15,17,2,1,0
20415,20415,340,Chinese Grand Prix,2010,17,67,5,13,2,1,0
20416,20416,340,Chinese Grand Prix,2010,17,155,15,15,2,1,0
20417,20417,340,Chinese Grand Prix,2010,17,24,10,18,2,1,0
20418,20418,340,Chinese Grand Prix,2010,17,10,166,19,2,1,0
20419,20419,341,Spanish Grand Prix,2010,4,17,9,1,1,1,1
20420,20420,341,Spanish Grand Prix,2010,4,4,6,4,1,1,2
20421,20421,341,Spanish Grand Prix,2010,4,20,9,2,1,1,3
20422,20422,341,Spanish Grand Prix,2010,4,30,131,6,1,1,4
20423,20423,341,Spanish Grand Prix,2010,4,18,1,5,1,1,5
20424,20424,341,Spanish Grand Prix,2010,4,13,6,9,1,1,6
20425,20425,341,Spanish Grand Prix,2010,4,16,10,11,1,1,7
20426,20426,341,Spanish Grand Prix,2010,4,9,4,7,1,1,8
20427,20427,341,Spanish Grand Prix,2010,4,22,3,17,1,1,9
20428,20428,341,Spanish Grand Prix,2010,4,153,5,15,1,1,10
20429,20429,341,Spanish Grand Prix,2010,4,808,4,19,1,1,11
20430,20430,341,Spanish Grand Prix,2010,4,155,15,10,1,1,12
20431,20431,341,Spanish Grand Prix,2010,4,3,131,8,1,1,13
20432,20432,341,Spanish Grand Prix,2010,4,1,1,3,2,1,14
20433,20433,341,Spanish Grand Prix,2010,4,24,10,16,2,1,15
20434,20434,341,Spanish Grand Prix,2010,4,807,3,13,1,1,16
20435,20435,341,Spanish Grand Prix,2010,4,15,205,18,1,1,17
20436,20436,341,Spanish Grand Prix,2010,4,10,166,22,1,1,18
20437,20437,341,Spanish Grand Prix,2010,4,810,166,23,1,1,19
20438,20438,341,Spanish Grand Prix,2010,4,67,5,14,2,1,0
20439,20439,341,Spanish Grand Prix,2010,4,812,164,24,2,1,0
20440,20440,341,Spanish Grand Prix,2010,4,37,15,12,2,1,0
20441,20441,341,Spanish Grand Prix,2010,4,811,164,21,2,1,0
20442,20442,341,Spanish Grand Prix,2010,4,5,205,20,2,1,0
20443,20443,342,Monaco Grand Prix,2010,6,17,9,1,1,1,1
20444,20444,342,Monaco Grand Prix,2010,6,20,9,3,1,1,2
20445,20445,342,Monaco Grand Prix,2010,6,9,4,2,1,1,3
20446,20446,342,Monaco Grand Prix,2010,6,13,6,4,1,1,4
20447,20447,342,Monaco Grand Prix,2010,6,1,1,5,1,1,5
20448,20448,342,Monaco Grand Prix,2010,6,4,6,24,1,1,6
20449,20449,342,Monaco Grand Prix,2010,6,3,131,6,1,1,7
20450,20450,342,Monaco Grand Prix,2010,6,16,10,12,1,1,8
20451,20451,342,Monaco Grand Prix,2010,6,24,10,10,1,1,9
20452,20452,342,Monaco Grand Prix,2010,6,67,5,13,1,1,10
20453,20453,342,Monaco Grand Prix,2010,6,153,5,17,1,1,11
20454,20454,342,Monaco Grand Prix,2010,6,30,131,7,1,1,12
20455,20455,342,Monaco Grand Prix,2010,6,808,4,14,2,1,13
20456,20456,342,Monaco Grand Prix,2010,6,812,164,23,2,1,14
20457,20457,342,Monaco Grand Prix,2010,6,15,205,19,2,1,15
20458,20458,342,Monaco Grand Prix,2010,6,5,205,18,2,1,0
20459,20459,342,Monaco Grand Prix,2010,6,811,164,22,2,1,0
20460,20460,342,Monaco Grand Prix,2010,6,22,3,9,2,1,0
20461,20461,342,Monaco Grand Prix,2010,6,155,15,16,2,1,0
20462,20462,342,Monaco Grand Prix,2010,6,810,166,21,2,1,0
20463,20463,342,Monaco Grand Prix,2010,6,10,166,20,2,1,0
20464,20464,342,Monaco Grand Prix,2010,6,37,15,15,2,1,0
20465,20465,342,Monaco Grand Prix,2010,6,18,1,8,2,1,0
20466,20466,342,Monaco Grand Prix,2010,6,807,3,11,2,1,0
20467,20467,343,Turkish Grand Prix,2010,5,1,1,2,1,1,1
20468,20468,343,Turkish Grand Prix,2010,5,18,1,4,1,1,2
20469,20469,343,Turkish Grand Prix,2010,5,17,9,1,1,1,3
20470,20470,343,Turkish Grand Prix,2010,5,30,131,5,1,1,4
20471,20471,343,Turkish Grand Prix,2010,5,3,131,6,1,1,5
20472,20472,343,Turkish Grand Prix,2010,5,9,4,7,1,1,6
20473,20473,343,Turkish Grand Prix,2010,5,13,6,8,1,1,7
20474,20474,343,Turkish Grand Prix,2010,5,4,6,12,1,1,8
20475,20475,343,Turkish Grand Prix,2010,5,16,10,11,1,1,9
20476,20476,343,Turkish Grand Prix,2010,5,155,15,10,1,1,10
20477,20477,343,Turkish Grand Prix,2010,5,37,15,13,1,1,11
20478,20478,343,Turkish Grand Prix,2010,5,153,5,16,1,1,12
20479,20479,343,Turkish Grand Prix,2010,5,24,10,18,1,1,13
20480,20480,343,Turkish Grand Prix,2010,5,22,3,15,1,1,14
20481,20481,343,Turkish Grand Prix,2010,5,808,4,9,1,1,15
20482,20482,343,Turkish Grand Prix,2010,5,67,5,14,1,1,16
20483,20483,343,Turkish Grand Prix,2010,5,807,3,17,1,1,17
20484,20484,343,Turkish Grand Prix,2010,5,10,166,21,1,1,18
20485,20485,343,Turkish Grand Prix,2010,5,810,166,23,1,1,19
20486,20486,343,Turkish Grand Prix,2010,5,812,164,24,2,1,20
20487,20487,343,Turkish Grand Prix,2010,5,811,164,22,2,1,0
20488,20488,343,Turkish Grand Prix,2010,5,20,9,3,2,1,0
20489,20489,343,Turkish Grand Prix,2010,5,5,205,20,2,1,0
20490,20490,343,Turkish Grand Prix,2010,5,15,205,19,2,1,0
20491,20491,344,Canadian Grand Prix,2010,7,1,1,1,1,1,1
20492,20492,344,Canadian Grand Prix,2010,7,18,1,4,1,1,2
20493,20493,344,Canadian Grand Prix,2010,7,4,6,3,1,1,3
20494,20494,344,Canadian Grand Prix,2010,7,20,9,2,1,1,4
20495,20495,344,Canadian Grand Prix,2010,7,17,9,7,1,1,5
20496,20496,344,Canadian Grand Prix,2010,7,3,131,10,1,1,6
20497,20497,344,Canadian Grand Prix,2010,7,9,4,8,1,1,7
20498,20498,344,Canadian Grand Prix,2010,7,67,5,15,1,1,8
20499,20499,344,Canadian Grand Prix,2010,7,24,10,5,1,1,9
20500,20500,344,Canadian Grand Prix,2010,7,16,10,9,1,1,10
20501,20501,344,Canadian Grand Prix,2010,7,30,131,13,1,1,11
20502,20502,344,Canadian Grand Prix,2010,7,153,5,16,1,1,12
20503,20503,344,Canadian Grand Prix,2010,7,807,3,12,1,1,13
20504,20504,344,Canadian Grand Prix,2010,7,22,3,11,1,1,14
20505,20505,344,Canadian Grand Prix,2010,7,13,6,6,1,1,15
20506,20506,344,Canadian Grand Prix,2010,7,5,205,19,1,1,16
20507,20507,344,Canadian Grand Prix,2010,7,808,4,14,1,1,17
20508,20508,344,Canadian Grand Prix,2010,7,812,164,24,1,1,18
20509,20509,344,Canadian Grand Prix,2010,7,810,166,23,1,1,19
20510,20510,344,Canadian Grand Prix,2010,7,10,166,21,2,1,0
20511,20511,344,Canadian Grand Prix,2010,7,15,205,20,2,1,0
20512,20512,344,Canadian Grand Prix,2010,7,37,15,17,2,1,0
20513,20513,344,Canadian Grand Prix,2010,7,811,164,22,2,1,0
20514,20514,344,Canadian Grand Prix,2010,7,155,15,18,2,1,0
20515,20515,345,European Grand Prix,2010,12,20,9,1,1,1,1
20516,20516,345,European Grand Prix,2010,12,1,1,3,1,1,2
20517,20517,345,European Grand Prix,2010,12,18,1,7,1,1,3
20518,20518,345,European Grand Prix,2010,12,22,3,9,1,1,4
20519,20519,345,European Grand Prix,2010,12,9,4,6,1,1,5
20520,20520,345,European Grand Prix,2010,12,16,10,13,1,1,6
20521,20521,345,European Grand Prix,2010,12,155,15,18,1,1,7
20522,20522,345,European Grand Prix,2010,12,4,6,4,1,1,8
20523,20523,345,European Grand Prix,2010,12,67,5,11,1,1,9
20524,20524,345,European Grand Prix,2010,12,3,131,12,1,1,10
20525,20525,345,European Grand Prix,2010,12,13,6,5,1,1,11
20526,20526,345,European Grand Prix,2010,12,37,15,16,1,1,12
20527,20527,345,European Grand Prix,2010,12,153,5,17,1,1,13
20528,20528,345,European Grand Prix,2010,12,808,4,10,1,1,14
20529,20529,345,European Grand Prix,2010,12,30,131,15,1,1,15
20530,20530,345,European Grand Prix,2010,12,24,10,14,1,1,16
20531,20531,345,European Grand Prix,2010,12,810,166,21,1,1,17
20532,20532,345,European Grand Prix,2010,12,812,164,23,1,1,18
20533,20533,345,European Grand Prix,2010,12,10,166,22,1,1,19
