,resultId,SVM_Outcome,SVM_Bin
821,24204,1,1
1,23380,2,1
415,23797,3,1
401,23783,4,2
837,24220,5,2
827,24210,6,2
820,24203,7,3
13,23392,8,3
0,23379,9,3
3,23382,10,3
833,24216,11,4
5,23384,12,4
6,23385,13,4
9,23388,14,4
838,24221,15,4
404,23786,16,4
829,24212,17,4
826,24209,18,4
8,23387,19,4
17,23396,20,4
10,23389,21,4
7,23386,22,4
834,24217,23,4
830,24213,24,4
4,23383,25,4
831,24214,26,4
11,23390,27,4
823,24206,28,4
839,24222,29,4
836,24219,30,4
824,24207,31,4
16,23395,32,4
822,24205,33,4
835,24218,34,4
19,23398,35,4
402,23784,36,4
12,23391,37,4
18,23397,38,4
400,23782,39,4
15,23394,40,4
2,23381,41,4
417,23799,42,4
419,23801,43,4
412,23794,44,4
418,23800,45,4
414,23796,46,4
411,23793,47,4
825,24208,48,4
413,23795,49,4
410,23792,50,4
408,23790,51,4
832,24215,52,4
409,23791,53,4
403,23785,54,4
407,23789,55,4
406,23788,56,4
405,23787,57,4
828,24211,58,4
416,23798,59,4
14,23393,60,4
20,23399,1,1
840,24223,2,1
25,23404,3,1
859,24242,4,2
855,24238,5,2
24,23403,6,2
21,23400,7,3
35,23414,8,3
846,24229,9,3
33,23412,10,3
420,23802,11,4
437,23819,12,4
429,23811,13,4
436,23818,14,4
430,23812,15,4
435,23817,16,4
427,23809,17,4
438,23820,18,4
439,23821,19,4
425,23807,20,4
423,23805,21,4
426,23808,22,4
844,24227,23,4
421,23803,24,4
428,23810,25,4
434,23816,26,4
23,23402,27,4
28,23407,28,4
431,23813,29,4
31,23410,30,4
433,23815,31,4
36,23415,32,4
26,23405,33,4
39,23418,34,4
34,23413,35,4
422,23804,36,4
37,23416,37,4
22,23401,38,4
29,23408,39,4
38,23417,40,4
32,23411,41,4
854,24237,42,4
856,24239,43,4
851,24234,44,4
850,24233,45,4
847,24230,46,4
848,24231,47,4
857,24240,48,4
845,24228,49,4
424,23806,50,4
858,24241,51,4
843,24226,52,4
842,24225,53,4
853,24236,54,4
27,23406,55,4
849,24232,56,4
852,24235,57,4
841,24224,58,4
432,23814,59,4
30,23409,60,4
860,24243,1,1
443,23825,2,1
861,24244,3,1
41,23420,4,2
447,23829,5,2
442,23824,6,2
441,23823,7,3
862,24245,8,3
52,23431,9,3
57,23436,10,3
51,23430,11,4
56,23435,12,4
40,23419,13,4
44,23423,14,4
50,23429,15,4
48,23427,16,4
49,23428,17,4
43,23422,18,4
42,23421,19,4
55,23434,20,4
59,23438,21,4
45,23424,22,4
53,23432,23,4
46,23425,24,4
54,23433,25,4
869,24252,26,4
864,24247,27,4
444,23826,28,4
863,24246,29,4
440,23822,30,4
865,24248,31,4
445,23827,32,4
451,23833,33,4
866,24249,34,4
448,23830,35,4
879,24262,36,4
878,24261,37,4
450,23832,38,4
452,23834,39,4
873,24256,40,4
459,23841,41,4
877,24260,42,4
454,23836,43,4
875,24258,44,4
457,23839,45,4
453,23835,46,4
47,23426,47,4
458,23840,48,4
455,23837,49,4
446,23828,50,4
874,24257,51,4
876,24259,52,4
868,24251,53,4
870,24253,54,4
872,24255,55,4
58,23437,56,4
456,23838,57,4
449,23831,58,4
867,24250,59,4
871,24254,60,4
881,24264,1,1
63,23442,2,1
889,24272,3,1
880,24263,4,2
460,23842,5,2
60,23439,6,2
885,24268,7,3
895,24278,8,3
61,23440,9,3
473,23855,10,3
62,23441,11,4
896,24279,12,4
882,24265,13,4
463,23845,14,4
883,24266,15,4
892,24275,16,4
76,23455,17,4
888,24271,18,4
476,23858,19,4
72,23451,20,4
898,24281,21,4
897,24280,22,4
475,23857,23,4
64,23443,24,4
472,23854,25,4
887,24270,26,4
68,23447,27,4
478,23860,28,4
884,24267,29,4
67,23446,30,4
462,23844,31,4
65,23444,32,4
464,23846,33,4
886,24269,34,4
467,23849,35,4
66,23445,36,4
479,23861,37,4
899,24282,38,4
890,24273,39,4
461,23843,40,4
465,23847,41,4
70,23449,42,4
469,23851,43,4
471,23853,44,4
468,23850,45,4
470,23852,46,4
477,23859,47,4
71,23450,48,4
69,23448,49,4
891,24274,50,4
894,24277,51,4
893,24276,52,4
73,23452,53,4
77,23456,54,4
75,23454,55,4
474,23856,56,4
74,23453,57,4
78,23457,58,4
466,23848,59,4
79,23458,60,4
480,23862,1,1
497,23879,2,1
900,24283,3,1
80,23459,4,2
901,24284,5,2
84,23463,6,2
98,23477,7,3
481,23863,8,3
83,23462,9,3
82,23461,10,3
81,23460,11,4
910,24293,12,4
86,23465,13,4
919,24302,14,4
905,24288,15,4
908,24291,16,4
907,24290,17,4
902,24285,18,4
904,24287,19,4
85,23464,20,4
911,24294,21,4
489,23871,22,4
912,24295,23,4
495,23877,24,4
99,23478,25,4
87,23466,26,4
903,24286,27,4
498,23880,28,4
94,23473,29,4
486,23868,30,4
90,23469,31,4
494,23876,32,4
488,23870,33,4
95,23474,34,4
484,23866,35,4
916,24299,36,4
492,23874,37,4
482,23864,38,4
499,23881,39,4
88,23467,40,4
91,23470,41,4
496,23878,42,4
483,23865,43,4
97,23476,44,4
490,23872,45,4
92,23471,46,4
493,23875,47,4
491,23873,48,4
487,23869,49,4
96,23475,50,4
485,23867,51,4
915,24298,52,4
917,24300,53,4
909,24292,54,4
913,24296,55,4
906,24289,56,4
93,23472,57,4
918,24301,58,4
914,24297,59,4
89,23468,60,4
920,24306,1,1
929,24315,2,1
502,23884,3,1
922,24308,4,2
936,24322,5,2
100,23479,6,2
501,23883,7,3
101,23480,8,3
104,23483,9,3
102,23481,10,3
500,23882,11,4
105,23484,12,4
505,23887,13,4
112,23491,14,4
113,23492,15,4
506,23888,16,4
509,23891,17,4
115,23494,18,4
119,23498,19,4
511,23893,20,4
513,23895,21,4
515,23897,22,4
507,23889,23,4
518,23900,24,4
517,23899,25,4
111,23490,26,4
924,24310,27,4
110,23489,28,4
503,23885,29,4
927,24313,30,4
516,23898,31,4
114,23493,32,4
926,24312,33,4
930,24316,34,4
925,24311,35,4
933,24319,36,4
923,24309,37,4
510,23892,38,4
939,24325,39,4
928,24314,40,4
938,24324,41,4
118,23497,42,4
921,24307,43,4
508,23890,44,4
116,23495,45,4
934,24320,46,4
931,24317,47,4
519,23901,48,4
103,23482,49,4
108,23487,50,4
117,23496,51,4
504,23886,52,4
937,24323,53,4
932,24318,54,4
935,24321,55,4
107,23486,56,4
109,23488,57,4
106,23485,58,4
512,23894,59,4
514,23896,60,4
940,24326,1,1
120,23499,2,1
956,24342,3,1
135,23514,4,2
520,23902,5,2
941,24327,6,2
524,23906,7,3
522,23904,8,3
126,23505,9,3
123,23502,10,3
523,23905,11,4
528,23910,12,4
947,24333,13,4
527,23909,14,4
942,24328,15,4
521,23903,16,4
526,23908,17,4
959,24345,18,4
945,24331,19,4
538,23920,20,4
944,24330,21,4
533,23915,22,4
138,23517,23,4
946,24332,24,4
950,24336,25,4
949,24335,26,4
958,24344,27,4
535,23917,28,4
529,23911,29,4
530,23912,30,4
539,23921,31,4
536,23918,32,4
955,24341,33,4
525,23907,34,4
534,23916,35,4
952,24338,36,4
128,23507,37,4
133,23512,38,4
130,23509,39,4
132,23511,40,4
134,23513,41,4
139,23518,42,4
537,23919,43,4
943,24329,44,4
136,23515,45,4
127,23506,46,4
125,23504,47,4
124,23503,48,4
957,24343,49,4
122,23501,50,4
137,23516,51,4
129,23508,52,4
121,23500,53,4
954,24340,54,4
131,23510,55,4
532,23914,56,4
951,24337,57,4
948,24334,58,4
953,24339,59,4
531,23913,60,4
144,23523,1,1
540,23922,2,1
141,23520,3,1
960,24346,4,2
546,23928,5,2
961,24347,6,2
544,23926,7,3
153,23532,8,3
962,24348,9,3
963,24349,10,3
964,24350,11,4
968,24354,12,4
965,24351,13,4
541,23923,14,4
542,23924,15,4
143,23522,16,4
970,24356,17,4
969,24355,18,4
543,23925,19,4
974,24360,20,4
550,23932,21,4
978,24364,22,4
545,23927,23,4
975,24361,24,4
967,24353,25,4
973,24359,26,4
157,23536,27,4
547,23929,28,4
549,23931,29,4
966,24352,30,4
977,24363,31,4
154,23533,32,4
558,23940,33,4
145,23524,34,4
146,23525,35,4
548,23930,36,4
557,23939,37,4
559,23941,38,4
553,23935,39,4
556,23938,40,4
554,23936,41,4
551,23933,42,4
552,23934,43,4
971,24357,44,4
555,23937,45,4
142,23521,46,4
976,24362,47,4
972,24358,48,4
140,23519,49,4
979,24365,50,4
158,23537,51,4
156,23535,52,4
149,23528,53,4
147,23526,54,4
159,23538,55,4
151,23530,56,4
155,23534,57,4
150,23529,58,4
152,23531,59,4
148,23527,60,4
984,24370,1,1
575,23957,2,1
563,23945,3,1
578,23960,4,2
982,24368,5,2
160,23542,6,2
165,23547,7,3
997,24383,8,3
981,24367,9,3
988,24374,10,3
980,24366,11,4
561,23943,12,4
564,23946,13,4
560,23942,14,4
161,23543,15,4
998,24384,16,4
995,24381,17,4
989,24375,18,4
163,23545,19,4
985,24371,20,4
164,23546,21,4
162,23544,22,4
179,23561,23,4
577,23959,24,4
562,23944,25,4
166,23548,26,4
990,24376,27,4
986,24372,28,4
571,23953,29,4
993,24379,30,4
579,23961,31,4
167,23549,32,4
565,23947,33,4
177,23559,34,4
570,23952,35,4
176,23558,36,4
573,23955,37,4
172,23554,38,4
574,23956,39,4
171,23553,40,4
572,23954,41,4
576,23958,42,4
568,23950,43,4
566,23948,44,4
175,23557,45,4
569,23951,46,4
169,23551,47,4
173,23555,48,4
170,23552,49,4
991,24377,50,4
174,23556,51,4
983,24369,52,4
994,24380,53,4
992,24378,54,4
996,24382,55,4
987,24373,56,4
567,23949,57,4
178,23560,58,4
168,23550,59,4
999,24385,60,4
1000,24386,1,1
180,23562,2,1
581,23963,3,1
582,23964,4,2
1001,24387,5,2
580,23962,6,2
587,23969,7,3
187,23569,8,3
183,23565,9,3
188,23570,10,3
190,23572,11,4
185,23567,12,4
1003,24389,13,4
199,23581,14,4
1004,24390,15,4
1002,24388,16,4
182,23564,17,4
194,23576,18,4
1011,24397,19,4
1010,24396,20,4
198,23580,21,4
1006,24392,22,4
1017,24403,23,4
186,23568,24,4
195,23577,25,4
1009,24395,26,4
1005,24391,27,4
196,23578,28,4
193,23575,29,4
1008,24394,30,4
590,23972,31,4
593,23975,32,4
184,23566,33,4
591,23973,34,4
597,23979,35,4
1013,24399,36,4
1007,24393,37,4
592,23974,38,4
598,23980,39,4
589,23971,40,4
1015,24401,41,4
585,23967,42,4
586,23968,43,4
596,23978,44,4
599,23981,45,4
192,23574,46,4
584,23966,47,4
595,23977,48,4
189,23571,49,4
594,23982,50,4
181,23563,51,4
197,23579,52,4
1018,24404,53,4
1014,24400,54,4
583,23965,55,4
588,23970,56,4
1016,24402,57,4
1019,24405,58,4
1012,24398,59,4
191,23573,60,4
1028,24414,1,1
1026,24412,2,1
203,23585,3,1
200,23582,4,2
1031,24417,5,2
201,23583,6,2
1020,24406,7,3
603,23986,8,3
1033,24419,9,3
1034,24420,10,3
604,23987,11,4
611,23994,12,4
205,23587,13,4
614,23997,14,4
1024,24410,15,4
606,23989,16,4
1036,24422,17,4
618,24001,18,4
617,24000,19,4
1035,24421,20,4
602,23985,21,4
608,23991,22,4
1032,24418,23,4
1038,24424,24,4
607,23990,25,4
1022,24408,26,4
613,23996,27,4
1025,24411,28,4
609,23992,29,4
615,23998,30,4
1030,24416,31,4
616,23999,32,4
213,23595,33,4
612,23995,34,4
217,23599,35,4
210,23592,36,4
1037,24423,37,4
601,23984,38,4
214,23596,39,4
619,24002,40,4
207,23589,41,4
216,23598,42,4
215,23597,43,4
208,23590,44,4
211,23593,45,4
206,23588,46,4
209,23591,47,4
219,23601,48,4
204,23586,49,4
202,23584,50,4
610,23993,51,4
1029,24415,52,4
1021,24407,53,4
605,23988,54,4
1039,24425,55,4
600,23983,56,4
1027,24413,57,4
1023,24409,58,4
218,23600,59,4
212,23594,60,4
220,23602,1,1
224,23606,2,1
620,24003,3,1
1040,24426,4,2
221,23603,5,2
226,23608,6,2
624,24007,7,3
622,24005,8,3
628,24011,9,3
625,24008,10,3
1042,24428,11,4
638,24021,12,4
630,24013,13,4
1058,24444,14,4
621,24004,15,4
631,24014,16,4
636,24019,17,4
637,24020,18,4
623,24006,19,4
223,23605,20,4
1046,24432,21,4
634,24017,22,4
635,24018,23,4
1055,24441,24,4
1053,24439,25,4
632,24015,26,4
1054,24440,27,4
639,24022,28,4
1049,24435,29,4
633,24016,30,4
1051,24437,31,4
1047,24433,32,4
1044,24430,33,4
1048,24434,34,4
1041,24427,35,4
1045,24431,36,4
1043,24429,37,4
1057,24443,38,4
1059,24445,39,4
238,23620,40,4
627,24010,41,4
222,23604,42,4
225,23607,43,4
236,23618,44,4
228,23610,45,4
626,24009,46,4
1052,24438,47,4
1056,24442,48,4
1050,24436,49,4
237,23619,50,4
629,24012,51,4
234,23616,52,4
229,23611,53,4
232,23614,54,4
230,23612,55,4
233,23615,56,4
235,23617,57,4
239,23621,58,4
231,23613,59,4
227,23609,60,4
641,24024,1,1
240,23622,2,1
1061,24447,3,1
1076,24462,4,2
646,24029,5,2
640,24023,6,2
1063,24449,7,3
1060,24446,8,3
645,24028,9,3
644,24027,10,3
244,23626,11,4
1079,24465,12,4
256,23638,13,4
242,23624,14,4
247,23629,15,4
1075,24461,16,4
642,24025,17,4
655,24038,18,4
648,24031,19,4
653,24036,20,4
1070,24456,21,4
1073,24459,22,4
650,24033,23,4
651,24034,24,4
1068,24454,25,4
1067,24453,26,4
1062,24448,27,4
652,24035,28,4
654,24037,29,4
657,24040,30,4
1074,24460,31,4
258,23640,32,4
259,23641,33,4
253,23635,34,4
1078,24464,35,4
649,24032,36,4
252,23634,37,4
243,23625,38,4
656,24039,39,4
249,23631,40,4
659,24042,41,4
1064,24450,42,4
255,23637,43,4
248,23630,44,4
257,23639,45,4
251,23633,46,4
1066,24452,47,4
245,23627,48,4
246,23628,49,4
1077,24463,50,4
1072,24458,51,4
241,23623,52,4
658,24041,53,4
1065,24451,54,4
1071,24457,55,4
647,24030,56,4
250,23632,57,4
1069,24455,58,4
643,24026,59,4
254,23636,60,4
1082,24468,1,1
1094,24480,2,1
660,24043,3,1
661,24044,4,2
663,24046,5,2
261,23643,6,2
278,23660,7,3
273,23655,8,3
1080,24466,9,3
277,23659,10,3
266,23648,11,4
263,23645,12,4
279,23661,13,4
265,23647,14,4
679,24062,15,4
264,23646,16,4
1083,24469,17,4
275,23657,18,4
664,24047,19,4
1084,24470,20,4
1099,24485,21,4
276,23658,22,4
667,24050,23,4
269,23651,24,4
1092,24478,25,4
1085,24471,26,4
673,24056,27,4
665,24048,28,4
668,24051,29,4
267,23649,30,4
669,24052,31,4
262,23644,32,4
1081,24467,33,4
1098,24484,34,4
671,24054,35,4
678,24061,36,4
271,23653,37,4
1093,24479,38,4
662,24045,39,4
274,23656,40,4
270,23652,41,4
666,24049,42,4
1089,24475,43,4
1088,24474,44,4
672,24055,45,4
670,24053,46,4
1090,24476,47,4
676,24059,48,4
674,24057,49,4
1087,24473,50,4
260,23642,51,4
677,24060,52,4
1096,24482,53,4
1091,24477,54,4
