,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin
1,23379,Australian Grand Prix,vettel,ferrari,1,1,2,1
0,23380,Australian Grand Prix,hamilton,mercedes,2,1,1,1
4,23381,Australian Grand Prix,bottas,mercedes,3,1,5,2
3,23382,Australian Grand Prix,raikkonen,ferrari,4,2,4,2
7,23383,Australian Grand Prix,max_verstappen,red_bull,5,2,8,3
6,23384,Australian Grand Prix,massa,williams,6,2,7,3
11,23385,Australian Grand Prix,perez,force_india,7,3,12,4
8,23386,Australian Grand Prix,sainz,toro_rosso,8,3,9,3
9,23387,Australian Grand Prix,kvyat,toro_rosso,9,3,10,3
13,23388,Australian Grand Prix,ocon,force_india,10,3,14,4
12,23389,Australian Grand Prix,hulkenberg,renault,11,4,13,4
15,23390,Australian Grand Prix,giovinazzi,sauber,12,4,16,4
17,23391,Australian Grand Prix,vandoorne,mclaren,13,4,18,4
10,23392,Australian Grand Prix,alonso,mclaren,0,4,11,4
16,23393,Australian Grand Prix,kevin_magnussen,haas,0,4,17,4
19,23394,Australian Grand Prix,stroll,williams,0,4,20,4
2,23395,Australian Grand Prix,ricciardo,red_bull,0,4,3,1
14,23396,Australian Grand Prix,ericsson,sauber,0,4,15,4
18,23397,Australian Grand Prix,jolyon_palmer,renault,0,4,19,4
5,23398,Australian Grand Prix,grosjean,haas,0,4,6,2
20,23399,Chinese Grand Prix,hamilton,mercedes,1,1,1,1
21,23400,Chinese Grand Prix,vettel,ferrari,2,1,2,1
35,23401,Chinese Grand Prix,max_verstappen,red_bull,3,1,16,4
25,23402,Chinese Grand Prix,ricciardo,red_bull,4,2,6,2
22,23403,Chinese Grand Prix,raikkonen,ferrari,5,2,3,1
23,23404,Chinese Grand Prix,bottas,mercedes,6,2,4,2
31,23405,Chinese Grand Prix,sainz,toro_rosso,7,3,12,4
32,23406,Chinese Grand Prix,kevin_magnussen,haas,8,3,13,4
27,23407,Chinese Grand Prix,perez,force_india,9,3,8,3
37,23408,Chinese Grand Prix,ocon,force_india,10,3,18,4
36,23409,Chinese Grand Prix,grosjean,haas,11,4,17,4
26,23410,Chinese Grand Prix,hulkenberg,renault,12,4,7,3
39,23411,Chinese Grand Prix,jolyon_palmer,renault,13,4,20,4
24,23412,Chinese Grand Prix,massa,williams,14,4,5,2
33,23413,Chinese Grand Prix,ericsson,sauber,15,4,14,4
30,23414,Chinese Grand Prix,alonso,mclaren,0,4,11,4
28,23415,Chinese Grand Prix,kvyat,toro_rosso,0,4,9,3
34,23416,Chinese Grand Prix,vandoorne,mclaren,0,4,15,4
38,23417,Chinese Grand Prix,giovinazzi,sauber,0,4,19,4
29,23418,Chinese Grand Prix,stroll,williams,0,4,10,3
41,23419,Bahrain Grand Prix,vettel,ferrari,1,1,2,1
40,23420,Bahrain Grand Prix,hamilton,mercedes,2,1,1,1
42,23421,Bahrain Grand Prix,bottas,mercedes,3,1,3,1
43,23422,Bahrain Grand Prix,raikkonen,ferrari,4,2,4,2
44,23423,Bahrain Grand Prix,ricciardo,red_bull,5,2,5,2
45,23424,Bahrain Grand Prix,massa,williams,6,2,6,2
57,23425,Bahrain Grand Prix,perez,force_india,7,3,18,4
47,23426,Bahrain Grand Prix,grosjean,haas,8,3,8,3
48,23427,Bahrain Grand Prix,hulkenberg,renault,9,3,9,3
54,23428,Bahrain Grand Prix,ocon,force_india,10,3,15,4
53,23429,Bahrain Grand Prix,wehrlein,sauber,11,4,14,4
50,23430,Bahrain Grand Prix,kvyat,toro_rosso,12,4,11,4
49,23431,Bahrain Grand Prix,jolyon_palmer,renault,13,4,10,3
52,23432,Bahrain Grand Prix,alonso,mclaren,14,4,13,4
58,23433,Bahrain Grand Prix,ericsson,sauber,0,4,19,4
55,23434,Bahrain Grand Prix,sainz,toro_rosso,0,4,16,4
51,23435,Bahrain Grand Prix,stroll,williams,0,4,12,4
46,23436,Bahrain Grand Prix,max_verstappen,red_bull,0,4,7,3
59,23437,Bahrain Grand Prix,kevin_magnussen,haas,0,4,20,4
56,23438,Bahrain Grand Prix,vandoorne,mclaren,0,4,17,4
63,23439,Russian Grand Prix,bottas,mercedes,1,1,4,2
60,23440,Russian Grand Prix,vettel,ferrari,2,1,1,1
61,23441,Russian Grand Prix,raikkonen,ferrari,3,1,2,1
62,23442,Russian Grand Prix,hamilton,mercedes,4,2,3,1
66,23443,Russian Grand Prix,max_verstappen,red_bull,5,2,7,3
68,23444,Russian Grand Prix,perez,force_india,6,2,9,3
69,23445,Russian Grand Prix,ocon,force_india,7,3,10,3
67,23446,Russian Grand Prix,hulkenberg,renault,8,3,8,3
64,23447,Russian Grand Prix,massa,williams,9,3,5,2
74,23448,Russian Grand Prix,sainz,toro_rosso,10,3,15,4
70,23449,Russian Grand Prix,stroll,williams,11,4,11,4
71,23450,Russian Grand Prix,kvyat,toro_rosso,12,4,12,4
73,23451,Russian Grand Prix,kevin_magnussen,haas,13,4,14,4
79,23452,Russian Grand Prix,vandoorne,mclaren,14,4,20,4
78,23453,Russian Grand Prix,ericsson,sauber,15,4,19,4
77,23454,Russian Grand Prix,wehrlein,sauber,16,4,18,4
65,23455,Russian Grand Prix,ricciardo,red_bull,0,4,6,2
