,resultId,RNF_Outcome,RNF_Bin
0,23379,1,1
2,23381,2,1
4,23383,3,1
1,23380,4,2
19,23398,5,2
3,23382,6,2
5,23384,7,3
6,23385,8,3
7,23386,9,3
8,23387,10,3
9,23388,11,4
10,23389,12,4
11,23390,13,4
12,23391,14,4
13,23392,15,4
14,23393,16,4
15,23394,17,4
16,23395,18,4
17,23396,19,4
18,23397,20,4
20,23399,1,1
21,23400,2,1
25,23404,3,1
23,23402,4,2
24,23403,5,2
35,23414,6,2
22,23401,7,3
26,23405,8,3
27,23406,9,3
28,23407,10,3
29,23408,11,4
30,23409,12,4
31,23410,13,4
32,23411,14,4
33,23412,15,4
34,23413,16,4
36,23415,17,4
37,23416,18,4
38,23417,19,4
39,23418,20,4
41,23420,1,1
42,23421,2,1
44,23423,3,1
57,23436,4,2
40,23419,5,2
43,23422,6,2
45,23424,7,3
46,23425,8,3
47,23426,9,3
48,23427,10,3
49,23428,11,4
50,23429,12,4
51,23430,13,4
52,23431,14,4
53,23432,15,4
54,23433,16,4
55,23434,17,4
56,23435,18,4
58,23437,19,4
59,23438,20,4
61,23440,1,1
62,23441,2,1
60,23439,3,1
63,23442,4,2
64,23443,5,2
65,23444,6,2
66,23445,7,3
67,23446,8,3
68,23447,9,3
69,23448,10,3
70,23449,11,4
71,23450,12,4
72,23451,13,4
73,23452,14,4
74,23453,15,4
75,23454,16,4
76,23455,17,4
77,23456,18,4
78,23457,19,4
79,23458,20,4
98,23477,1,1
80,23459,2,1
96,23475,3,1
81,23460,4,2
82,23461,5,2
83,23462,6,2
84,23463,7,3
85,23464,8,3
86,23465,9,3
87,23466,10,3
88,23467,11,4
89,23468,12,4
90,23469,13,4
91,23470,14,4
92,23471,15,4
93,23472,16,4
94,23473,17,4
95,23474,18,4
97,23476,19,4
99,23478,20,4
101,23480,1,1
106,23485,2,1
103,23482,3,1
100,23479,4,2
104,23483,5,2
105,23484,6,2
102,23481,7,3
107,23486,8,3
108,23487,9,3
109,23488,10,3
110,23489,11,4
111,23490,12,4
112,23491,13,4
113,23492,14,4
114,23493,15,4
115,23494,16,4
116,23495,17,4
117,23496,18,4
118,23497,19,4
119,23498,20,4
120,23499,1,1
121,23500,2,1
122,23501,3,1
123,23502,4,2
124,23503,5,2
125,23504,6,2
126,23505,7,3
127,23506,8,3
128,23507,9,3
129,23508,10,3
130,23509,11,4
131,23510,12,4
132,23511,13,4
133,23512,14,4
134,23513,15,4
135,23514,16,4
136,23515,17,4
137,23516,18,4
138,23517,19,4
139,23518,20,4
144,23523,1,1
141,23520,2,1
140,23519,3,1
142,23521,4,2
143,23522,5,2
145,23524,6,2
146,23525,7,3
147,23526,8,3
148,23527,9,3
149,23528,10,3
150,23529,11,4
151,23530,12,4
152,23531,13,4
153,23532,14,4
154,23533,15,4
155,23534,16,4
156,23535,17,4
157,23536,18,4
158,23537,19,4
159,23538,20,4
160,23542,1,1
161,23543,2,1
163,23545,3,1
164,23546,4,2
165,23547,5,2
162,23544,6,2
166,23548,7,3
167,23549,8,3
168,23550,9,3
169,23551,10,3
170,23552,11,4
171,23553,12,4
172,23554,13,4
173,23555,14,4
174,23556,15,4
175,23557,16,4
176,23558,17,4
177,23559,18,4
178,23560,19,4
179,23561,20,4
180,23562,1,1
182,23564,2,1
186,23568,3,1
181,23563,4,2
183,23565,5,2
184,23566,6,2
185,23567,7,3
187,23569,8,3
188,23570,9,3
189,23571,10,3
190,23572,11,4
191,23573,12,4
192,23574,13,4
193,23575,14,4
194,23576,15,4
195,23577,16,4
196,23578,17,4
197,23579,18,4
198,23580,19,4
199,23581,20,4
201,23583,1,1
203,23585,2,1
200,23582,3,1
202,23584,4,2
204,23586,5,2
205,23587,6,2
206,23588,7,3
207,23589,8,3
208,23590,9,3
209,23591,10,3
210,23592,11,4
211,23593,12,4
212,23594,13,4
213,23595,14,4
214,23596,15,4
215,23597,16,4
216,23598,17,4
217,23599,18,4
218,23600,19,4
219,23601,20,4
220,23602,1,1
221,23603,2,1
222,23604,3,1
224,23606,4,2
238,23620,5,2
223,23605,6,2
225,23607,7,3
226,23608,8,3
227,23609,9,3
228,23610,10,3
229,23611,11,4
230,23612,12,4
231,23613,13,4
232,23614,14,4
233,23615,15,4
234,23616,16,4
235,23617,17,4
236,23618,18,4
237,23619,19,4
239,23621,20,4
240,23622,1,1
246,23628,2,1
241,23623,3,1
244,23626,4,2
245,23627,5,2
242,23624,6,2
243,23625,7,3
247,23629,8,3
248,23630,9,3
249,23631,10,3
250,23632,11,4
251,23633,12,4
252,23634,13,4
253,23635,14,4
254,23636,15,4
255,23637,16,4
256,23638,17,4
257,23639,18,4
258,23640,19,4
259,23641,20,4
277,23659,1,1
261,23643,2,1
260,23642,3,1
262,23644,4,2
263,23645,5,2
264,23646,6,2
265,23647,7,3
266,23648,8,3
267,23649,9,3
268,23650,10,3
269,23651,11,4
270,23652,12,4
271,23653,13,4
272,23654,14,4
273,23655,15,4
274,23656,16,4
275,23657,17,4
276,23658,18,4
278,23660,19,4
279,23661,20,4
282,23664,1,1
299,23681,2,1
280,23662,3,1
281,23663,4,2
283,23665,5,2
284,23666,6,2
286,23668,7,3
295,23677,8,3
285,23667,9,3
287,23669,10,3
288,23670,11,4
289,23671,12,4
290,23672,13,4
291,23673,14,4
292,23674,15,4
293,23675,16,4
294,23676,17,4
296,23678,18,4
297,23679,19,4
298,23680,20,4
300,23682,1,1
318,23700,2,1
301,23683,3,1
302,23684,4,2
303,23685,5,2
304,23686,6,2
305,23687,7,3
306,23688,8,3
307,23689,9,3
308,23690,10,3
309,23691,11,4
310,23692,12,4
311,23693,13,4
312,23694,14,4
313,23695,15,4
314,23696,16,4
315,23697,17,4
316,23698,18,4
317,23699,19,4
319,23701,20,4
320,23702,1,1
321,23703,2,1
322,23704,3,1
323,23705,4,2
324,23706,5,2
325,23707,6,2
326,23708,7,3
327,23709,8,3
328,23710,9,3
329,23711,10,3
330,23712,11,4
331,23713,12,4
332,23714,13,4
333,23715,14,4
334,23716,15,4
335,23717,16,4
336,23718,17,4
337,23719,18,4
338,23720,19,4
339,23721,20,4
343,23725,1,1
341,23723,2,1
340,23722,3,1
348,23730,4,2
342,23724,5,2
344,23726,6,2
345,23727,7,3
346,23728,8,3
347,23729,9,3
349,23731,10,3
350,23732,11,4
351,23733,12,4
352,23734,13,4
353,23735,14,4
354,23736,15,4
355,23737,16,4
356,23738,17,4
357,23739,18,4
358,23740,19,4
359,23741,20,4
361,23743,1,1
360,23742,2,1
362,23744,3,1
363,23745,4,2
364,23746,5,2
365,23747,6,2
366,23748,7,3
367,23749,8,3
368,23750,9,3
369,23751,10,3
370,23752,11,4
371,23753,12,4
372,23754,13,4
373,23755,14,4
374,23756,15,4
375,23757,16,4
376,23758,17,4
377,23759,18,4
378,23760,19,4
379,23761,20,4
381,23763,1,1
380,23762,2,1
382,23764,3,1
383,23765,4,2
384,23766,5,2
385,23767,6,2
386,23768,7,3
387,23769,8,3
388,23770,9,3
389,23771,10,3
390,23772,11,4
391,23773,12,4
392,23774,13,4
393,23775,14,4
394,23776,15,4
395,23777,16,4
396,23778,17,4
397,23779,18,4
398,23780,19,4
399,23781,20,4
