,index,driverId,position,driverRef,nationality,country,homeWin
1856,15809,320,1.0,gethin,British,Italy,No
1857,15810,238,2.0,peterson,Swedish,Italy,No
1858,15811,327,3.0,cevert,French,Italy,No
1859,15833,328,1.0,stewart,British,Canada,No
1860,15834,238,2.0,peterson,Swedish,Canada,No
1861,15835,288,3.0,donohue,American,Canada,No
1862,15859,327,1.0,cevert,French,USA,No
1863,15860,346,2.0,siffert,Swiss,USA,No
1864,15861,238,3.0,peterson,Swedish,USA,No
1865,15888,356,1.0,jack_brabham,Australian,South Africa,No
1866,15889,304,2.0,hulme,New Zealander,South Africa,No
1867,15890,328,3.0,stewart,British,South Africa,No
1868,15911,328,1.0,stewart,British,Spain,No
1869,15912,360,2.0,mclaren,New Zealander,Spain,No
1870,15913,207,3.0,mario_andretti,American,Spain,No
1871,15933,358,1.0,rindt,Austrian,Monaco,No
1872,15934,356,2.0,jack_brabham,Australian,Monaco,No
1873,15935,280,3.0,pescarolo,French,Monaco,No
1874,15954,345,1.0,rodriguez,Mexican,Belgium,No
1875,15955,278,2.0,amon,New Zealander,Belgium,No
1876,15956,306,3.0,beltoise,French,Belgium,No
1877,15971,358,1.0,rindt,Austrian,Netherlands,No
1878,15972,328,2.0,stewart,British,Netherlands,No
1879,15973,235,3.0,ickx,Belgian,Netherlands,No
1880,15995,358,1.0,rindt,Austrian,France,No
1881,15996,278,2.0,amon,New Zealander,France,No
1882,15997,356,3.0,jack_brabham,Australian,France,No
1883,16018,358,1.0,rindt,Austrian,UK,No
1884,16019,356,2.0,jack_brabham,Australian,UK,No
1885,16020,304,3.0,hulme,New Zealander,UK,No
1886,16041,358,1.0,rindt,Austrian,Germany,No
1887,16042,235,2.0,ickx,Belgian,Germany,No
1888,16043,304,3.0,hulme,New Zealander,Germany,No
1889,16066,20,1.0,vettel,German,UAE,No
1890,16067,17,2.0,webber,Australian,UAE,No
1891,16068,18,3.0,button,British,UAE,No
1892,16086,235,1.0,ickx,Belgian,Austria,No
1893,16087,223,2.0,regazzoni,Swiss,Austria,No
1894,16088,243,3.0,stommelen,German,Austria,No
1895,16110,223,1.0,regazzoni,Swiss,Italy,No
1896,16111,328,2.0,stewart,British,Italy,No
1897,16112,306,3.0,beltoise,French,Italy,No
1898,16137,235,1.0,ickx,Belgian,Canada,No
1899,16138,223,2.0,regazzoni,Swiss,Canada,No
1900,16139,278,3.0,amon,New Zealander,Canada,No
1901,16157,224,1.0,emerson_fittipaldi,Brazilian,USA,No
1902,16158,345,2.0,rodriguez,Mexican,USA,No
1903,16159,317,3.0,wisell,Swedish,USA,No
1904,16184,235,1.0,ickx,Belgian,Mexico,No
1905,16185,223,2.0,regazzoni,Swiss,Mexico,No
1906,16186,304,3.0,hulme,New Zealander,Mexico,No
1907,16202,328,1.0,stewart,British,South Africa,No
1908,16203,289,2.0,hill,British,South Africa,No
1909,16204,304,3.0,hulme,New Zealander,South Africa,No
1910,16220,328,1.0,stewart,British,Spain,No
1911,16221,360,2.0,mclaren,New Zealander,Spain,No
1912,16222,306,3.0,beltoise,French,Spain,No
1913,16234,289,1.0,hill,British,Monaco,No
