,index,driverId,position,driverRef,nationality,country,homeWin
2272,18759,525,3.0,bryan,American,USA,Yes
2273,18790,579,1.0,fangio,Argentine,France,No
2274,18791,577,2.0,musso,Italian,France,No
2275,18792,581,3.0,collins,British,France,No
2276,18805,479,1.0,brooks,British,UK,Yes
2277,18806,577,2.0,musso,Italian,UK,No
2278,18807,578,3.0,hawthorn,British,UK,Yes
2279,18824,579,1.0,fangio,Argentine,Germany,No
2280,18825,578,2.0,hawthorn,British,Germany,No
2281,18826,581,3.0,collins,British,Germany,No
2282,18848,475,1.0,moss,British,Italy,No
2283,18849,579,2.0,fangio,Argentine,Italy,No
2284,18850,501,3.0,schell,American,Italy,No
2285,18864,475,1.0,moss,British,Italy,No
2286,18865,579,2.0,fangio,Argentine,Italy,No
2287,18866,476,3.0,trips,German,Italy,No
2288,18882,577,1.0,musso,Italian,Argentina,No
2289,18883,554,2.0,behra,French,Argentina,No
2290,18884,578,3.0,hawthorn,British,Argentina,No
