,index,raceId,driverId,constructorId,ending_position,year,name,lap,firstlap_position,firstlap_results
430,8820,1024,844,6,2,2019,Singapore Grand Prix,1,1.0,Podium
431,8840,1025,20,6,0,2019,Russian Grand Prix,1,1.0,No Podium
432,8859,1026,822,131,1,2019,Japanese Grand Prix,1,1.0,Winner
433,8879,1027,844,6,4,2019,Mexican Grand Prix,1,1.0,No Podium
434,8899,1028,822,131,1,2019,United States Grand Prix,1,1.0,Winner
435,8938,1029,830,9,1,2019,Brazilian Grand Prix,1,1.0,Winner
436,8939,1030,1,131,1,2019,Abu Dhabi Grand Prix,1,1.0,Winner
437,8959,1031,822,131,1,2020,Austrian Grand Prix,1,1.0,Winner
438,8979,1032,1,131,1,2020,Styrian Grand Prix,1,1.0,Winner
439,8999,1033,1,131,1,2020,Hungarian Grand Prix,1,1.0,Winner
440,9019,1034,1,131,1,2020,British Grand Prix,1,1.0,Winner
441,9038,1035,822,131,3,2020,70th Anniversary Grand Prix,1,1.0,Podium
442,9058,1036,1,131,1,2020,Spanish Grand Prix,1,1.0,Winner
443,9078,1037,1,131,1,2020,Belgian Grand Prix,1,1.0,Winner
444,9097,1038,1,131,7,2020,Italian Grand Prix,1,1.0,No Podium
445,9117,1039,822,131,2,2020,Tuscan Grand Prix,1,1.0,Podium
446,9135,1040,1,131,3,2020,Russian Grand Prix,1,1.0,Podium
447,9153,1041,822,131,0,2020,Eifel Grand Prix,1,1.0,No Podium
448,9173,1042,822,131,2,2020,Portuguese Grand Prix,1,1.0,Podium
449,9193,1043,822,131,2,2020,Emilia Romagna Grand Prix,1,1.0,Podium
450,9213,1044,840,211,9,2020,Turkish Grand Prix,1,1.0,No Podium
451,9233,1045,1,131,1,2020,Bahrain Grand Prix,1,1.0,Winner
452,9252,1046,847,131,9,2020,Sakhir Grand Prix,1,1.0,No Podium
453,9270,1047,830,9,1,2020,Abu Dhabi Grand Prix,1,1.0,Winner
454,9290,1052,830,9,2,2021,Bahrain Grand Prix,1,1.0,Podium
455,9309,1053,830,9,1,2021,Emilia Romagna Grand Prix,1,1.0,Winner
456,9328,1054,822,131,3,2021,Portuguese Grand Prix,1,1.0,Podium
457,9348,1055,830,9,2,2021,Spanish Grand Prix,1,1.0,Podium
