,resultId,SVM_Outcome,SVM_Bin
1,23783,1,1
15,23797,2,1
4,23786,3,1
2,23784,4,2
0,23782,5,2
17,23799,6,2
19,23801,7,3
12,23794,8,3
14,23796,9,3
18,23800,10,3
11,23793,11,4
13,23795,12,4
10,23792,13,4
8,23790,14,4
9,23791,15,4
3,23785,16,4
6,23788,17,4
16,23798,18,4
5,23787,19,4
7,23789,20,4
20,23802,1,1
37,23819,2,1
27,23809,3,1
25,23807,4,2
23,23805,5,2
30,23812,6,2
39,23821,7,3
36,23818,8,3
29,23811,9,3
35,23817,10,3
26,23808,11,4
38,23820,12,4
34,23816,13,4
33,23815,14,4
28,23810,15,4
31,23813,16,4
22,23804,17,4
21,23803,18,4
32,23814,19,4
24,23806,20,4
43,23825,1,1
47,23829,2,1
42,23824,3,1
41,23823,4,2
44,23826,5,2
40,23822,6,2
45,23827,7,3
51,23833,8,3
48,23830,9,3
50,23832,10,3
52,23834,11,4
46,23828,12,4
59,23841,13,4
54,23836,14,4
57,23839,15,4
53,23835,16,4
58,23840,17,4
55,23837,18,4
56,23838,19,4
49,23831,20,4
73,23855,1,1
60,23842,2,1
76,23858,3,1
75,23857,4,2
63,23845,5,2
78,23860,6,2
72,23854,7,3
62,23844,8,3
64,23846,9,3
65,23847,10,3
67,23849,11,4
79,23861,12,4
70,23852,13,4
77,23859,14,4
71,23853,15,4
68,23850,16,4
69,23851,17,4
61,23843,18,4
66,23848,19,4
74,23856,20,4
80,23862,1,1
81,23863,2,1
96,23878,3,1
82,23864,4,2
83,23865,5,2
84,23866,6,2
86,23868,7,3
94,23876,8,3
98,23880,9,3
97,23879,10,3
95,23877,11,4
89,23871,12,4
88,23870,13,4
99,23881,14,4
87,23869,15,4
90,23872,16,4
92,23874,17,4
93,23875,18,4
91,23873,19,4
85,23867,20,4
102,23884,1,1
100,23882,2,1
101,23883,3,1
106,23888,4,2
113,23895,5,2
109,23891,6,2
105,23887,7,3
107,23889,8,3
103,23885,9,3
111,23893,10,3
115,23897,11,4
119,23901,12,4
118,23900,13,4
116,23898,14,4
117,23899,15,4
110,23892,16,4
108,23890,17,4
104,23886,18,4
114,23896,19,4
112,23894,20,4
120,23902,1,1
122,23904,2,1
127,23909,3,1
124,23906,4,2
126,23908,5,2
123,23905,6,2
128,23910,7,3
125,23907,8,3
138,23920,9,3
133,23915,10,3
135,23917,11,4
130,23912,12,4
139,23921,13,4
137,23919,14,4
136,23918,15,4
129,23911,16,4
134,23916,17,4
121,23903,18,4
131,23913,19,4
132,23914,20,4
140,23922,1,1
146,23928,2,1
144,23926,3,1
141,23923,4,2
143,23925,5,2
142,23924,6,2
147,23929,7,3
149,23931,8,3
150,23932,9,3
158,23940,10,3
155,23937,11,4
148,23930,12,4
157,23939,13,4
159,23941,14,4
145,23927,15,4
151,23933,16,4
154,23936,17,4
156,23938,18,4
152,23934,19,4
153,23935,20,4
178,23960,1,1
174,23956,2,1
173,23955,3,1
170,23952,4,2
172,23954,5,2
165,23947,6,2
175,23957,7,3
171,23953,8,3
179,23961,9,3
176,23958,10,3
177,23959,11,4
166,23948,12,4
160,23942,13,4
168,23950,14,4
169,23951,15,4
161,23943,16,4
163,23945,17,4
162,23944,18,4
164,23946,19,4
167,23949,20,4
181,23963,1,1
180,23962,2,1
182,23964,3,1
187,23969,4,2
196,23978,5,2
183,23965,6,2
194,23982,7,3
195,23977,8,3
191,23973,9,3
190,23972,10,3
193,23975,11,4
184,23966,12,4
197,23979,13,4
192,23974,14,4
185,23967,15,4
199,23981,16,4
186,23968,17,4
189,23971,18,4
198,23980,19,4
188,23970,20,4
203,23986,1,1
214,23997,2,1
204,23987,3,1
217,24000,4,2
211,23994,5,2
