,resultId,SVM_Outcome,SVM_Bin
206,23989,6,2
202,23985,7,3
218,24001,8,3
208,23991,9,3
215,23998,10,3
207,23990,11,4
213,23996,12,4
209,23992,13,4
216,23999,14,4
212,23995,15,4
201,23984,16,4
219,24002,17,4
205,23988,18,4
200,23983,19,4
210,23993,20,4
220,24003,1,1
222,24005,2,1
221,24004,3,1
228,24011,4,2
225,24008,5,2
238,24021,6,2
230,24013,7,3
231,24014,8,3
227,24010,9,3
237,24020,10,3
223,24006,11,4
236,24019,12,4
235,24018,13,4
224,24007,14,4
234,24017,15,4
232,24015,16,4
233,24016,17,4
239,24022,18,4
229,24012,19,4
226,24009,20,4
241,24024,1,1
240,24023,2,1
245,24028,3,1
244,24027,4,2
256,24039,5,2
242,24025,6,2
255,24038,7,3
246,24029,8,3
248,24031,9,3
253,24036,10,3
258,24041,11,4
250,24033,12,4
251,24034,13,4
254,24037,14,4
252,24035,15,4
257,24040,16,4
259,24042,17,4
249,24032,18,4
247,24030,19,4
243,24026,20,4
260,24043,1,1
261,24044,2,1
263,24046,3,1
264,24047,4,2
267,24050,5,2
265,24048,6,2
273,24056,7,3
268,24051,8,3
269,24052,9,3
277,24060,10,3
271,24054,11,4
278,24061,12,4
266,24049,13,4
272,24055,14,4
279,24062,15,4
276,24059,16,4
270,24053,17,4
274,24057,18,4
262,24045,19,4
275,24058,20,4
280,24063,1,1
282,24065,2,1
281,24064,3,1
284,24067,4,2
285,24068,5,2
295,24078,6,2
299,24082,7,3
289,24072,8,3
286,24069,9,3
287,24070,10,3
291,24074,11,4
292,24075,12,4
298,24081,13,4
293,24076,14,4
296,24079,15,4
288,24071,16,4
290,24073,17,4
283,24066,18,4
294,24077,19,4
297,24080,20,4
301,24084,1,1
300,24083,2,1
307,24090,3,1
302,24085,4,2
303,24086,5,2
308,24091,6,2
306,24089,7,3
309,24092,8,3
312,24095,9,3
316,24099,10,3
311,24094,11,4
317,24100,12,4
314,24097,13,4
315,24098,14,4
310,24093,15,4
318,24101,16,4
319,24102,17,4
304,24087,18,4
305,24088,19,4
313,24096,20,4
320,24103,1,1
327,24110,2,1
321,24104,3,1
324,24107,4,2
322,24105,5,2
332,24115,6,2
330,24113,7,3
325,24108,8,3
326,24109,9,3
333,24116,10,3
337,24120,11,4
328,24111,12,4
329,24112,13,4
336,24119,14,4
334,24117,15,4
335,24118,16,4
338,24121,17,4
323,24106,18,4
331,24114,19,4
339,24122,20,4
342,24125,1,1
344,24127,2,1
340,24123,3,1
343,24126,4,2
355,24138,5,2
358,24141,6,2
345,24128,7,3
354,24137,8,3
347,24130,9,3
346,24129,10,3
356,24139,11,4
352,24135,12,4
353,24136,13,4
350,24133,14,4
348,24131,15,4
357,24140,16,4
351,24134,17,4
341,24124,18,4
349,24132,19,4
359,24142,20,4
363,24146,1,1
376,24159,2,1
360,24143,3,1
361,24144,4,2
362,24145,5,2
364,24147,6,2
365,24148,7,3
378,24161,8,3
366,24149,9,3
379,24162,10,3
368,24151,11,4
370,24153,12,4
367,24150,13,4
373,24156,14,4
377,24160,15,4
372,24155,16,4
371,24154,17,4
369,24152,18,4
374,24157,19,4
375,24158,20,4
380,24163,1,1
385,24168,2,1
382,24165,3,1
381,24164,4,2
384,24167,5,2
399,24182,6,2
386,24169,7,3
392,24175,8,3
396,24179,9,3
383,24166,10,3
398,24181,11,4
395,24178,12,4
393,24176,13,4
389,24172,14,4
391,24174,15,4
397,24180,16,4
390,24173,17,4
394,24177,18,4
387,24170,19,4
388,24171,20,4
400,24183,1,1
404,24187,2,1
401,24184,3,1
418,24201,4,2
403,24186,5,2
402,24185,6,2
408,24191,7,3
406,24189,8,3
416,24199,9,3
410,24193,10,3
419,24202,11,4
405,24188,12,4
413,24196,13,4
412,24195,14,4
414,24197,15,4
417,24200,16,4
411,24194,17,4
415,24198,18,4
407,24190,19,4
409,24192,20,4
