,resultId,NN_Outcome,NN_Bin
1,23783,1,1
0,23782,2,1
2,23784,3,1
5,23787,4,2
3,23785,5,2
4,23786,6,2
14,23796,7,3
15,23797,8,3
6,23788,9,3
9,23791,10,3
16,23798,11,4
17,23799,12,4
8,23790,13,4
7,23789,14,4
11,23793,15,4
13,23795,16,4
18,23800,17,4
10,23792,18,4
12,23794,19,4
19,23801,20,4
20,23802,1,1
21,23803,2,1
37,23819,3,1
39,23821,4,2
22,23804,5,2
36,23818,6,2
38,23820,7,3
25,23807,8,3
23,23805,9,3
29,23811,10,3
26,23808,11,4
27,23809,12,4
24,23806,13,4
32,23814,14,4
30,23812,15,4
33,23815,16,4
35,23817,17,4
28,23810,18,4
31,23813,19,4
34,23816,20,4
43,23825,1,1
47,23829,2,1
42,23824,3,1
44,23826,4,2
41,23823,5,2
40,23822,6,2
59,23841,7,3
46,23828,8,3
45,23827,9,3
56,23838,10,3
48,23830,11,4
57,23839,12,4
51,23833,13,4
49,23831,14,4
50,23832,15,4
52,23834,16,4
53,23835,17,4
58,23840,18,4
54,23836,19,4
55,23837,20,4
60,23842,1,1
73,23855,2,1
63,23845,3,1
76,23858,4,2
75,23857,5,2
61,23843,6,2
62,23844,7,3
64,23846,8,3
78,23860,9,3
66,23848,10,3
69,23851,11,4
79,23861,12,4
68,23850,13,4
65,23847,14,4
71,23853,15,4
77,23859,16,4
67,23849,17,4
70,23852,18,4
74,23856,19,4
72,23854,20,4
80,23862,1,1
83,23865,2,1
82,23864,3,1
81,23863,4,2
84,23866,5,2
96,23878,6,2
87,23869,7,3
91,23873,8,3
98,23880,9,3
94,23876,10,3
97,23879,11,4
85,23867,12,4
86,23868,13,4
95,23877,14,4
90,23872,15,4
99,23881,16,4
89,23871,17,4
88,23870,18,4
92,23874,19,4
93,23875,20,4
102,23884,1,1
100,23882,2,1
101,23883,3,1
104,23886,4,2
103,23885,5,2
119,23901,6,2
118,23900,7,3
109,23891,8,3
106,23888,9,3
105,23887,10,3
108,23890,11,4
113,23895,12,4
114,23896,13,4
107,23889,14,4
116,23898,15,4
111,23893,16,4
117,23899,17,4
112,23894,18,4
115,23897,19,4
110,23892,20,4
124,23906,1,1
120,23902,2,1
121,23903,3,1
122,23904,4,2
123,23905,5,2
125,23907,6,2
138,23920,7,3
137,23919,8,3
126,23908,9,3
128,23910,10,3
127,23909,11,4
130,23912,12,4
129,23911,13,4
132,23914,14,4
135,23917,15,4
131,23913,16,4
133,23915,17,4
139,23921,18,4
134,23916,19,4
136,23918,20,4
140,23922,1,1
146,23928,2,1
144,23926,3,1
141,23923,4,2
143,23925,5,2
142,23924,6,2
149,23931,7,3
147,23929,8,3
153,23935,9,3
159,23941,10,3
150,23932,11,4
155,23937,12,4
145,23927,13,4
158,23940,14,4
148,23930,15,4
151,23933,16,4
156,23938,17,4
157,23939,18,4
152,23934,19,4
154,23936,20,4
175,23957,1,1
178,23960,2,1
160,23942,3,1
162,23944,4,2
161,23943,5,2
177,23959,6,2
167,23949,7,3
163,23945,8,3
170,23952,9,3
176,23958,10,3
171,23953,11,4
179,23961,12,4
164,23946,13,4
174,23956,14,4
165,23947,15,4
173,23955,16,4
166,23948,17,4
168,23950,18,4
172,23954,19,4
169,23951,20,4
181,23963,1,1
180,23962,2,1
183,23965,3,1
182,23964,4,2
195,23977,5,2
184,23966,6,2
194,23982,7,3
187,23969,8,3
199,23981,9,3
196,23978,10,3
192,23974,11,4
186,23968,12,4
188,23970,13,4
185,23967,14,4
197,23979,15,4
190,23972,16,4
189,23971,17,4
191,23973,18,4
198,23980,19,4
193,23975,20,4
201,23984,1,1
217,24000,2,1
203,23986,3,1
202,23985,4,2
200,23983,5,2
215,23998,6,2
205,23988,7,3
214,23997,8,3
209,23992,9,3
204,23987,10,3
211,23994,11,4
210,23993,12,4
213,23996,13,4
207,23990,14,4
219,24002,15,4
206,23989,16,4
218,24001,17,4
212,23995,18,4
208,23991,19,4
216,23999,20,4
220,24003,1,1
221,24004,2,1
222,24005,3,1
224,24007,4,2
238,24021,5,2
228,24011,6,2
227,24010,7,3
230,24013,8,3
223,24006,9,3
225,24008,10,3
229,24012,11,4
226,24009,12,4
236,24019,13,4
237,24020,14,4
232,24015,15,4
231,24014,16,4
239,24022,17,4
234,24017,18,4
235,24018,19,4
233,24016,20,4
241,24024,1,1
240,24023,2,1
256,24039,3,1
255,24038,4,2
242,24025,5,2
245,24028,6,2
253,24036,7,3
246,24029,8,3
248,24031,9,3
244,24027,10,3
258,24041,11,4
257,24040,12,4
250,24033,13,4
243,24026,14,4
247,24030,15,4
254,24037,16,4
252,24035,17,4
249,24032,18,4
251,24034,19,4
259,24042,20,4
260,24043,1,1
263,24046,2,1
261,24044,3,1
262,24045,4,2
264,24047,5,2
278,24061,6,2
277,24060,7,3
273,24056,8,3
267,24050,9,3
265,24048,10,3
279,24062,11,4
268,24051,12,4
271,24054,13,4
275,24058,14,4
270,24053,15,4
276,24059,16,4
269,24052,17,4
266,24049,18,4
272,24055,19,4
274,24057,20,4
280,24063,1,1
282,24065,2,1
281,24064,3,1
283,24066,4,2
285,24068,5,2
284,24067,6,2
286,24069,7,3
296,24079,8,3
294,24077,9,3
292,24075,10,3
289,24072,11,4
295,24078,12,4
288,24071,13,4
299,24082,14,4
291,24074,15,4
287,24070,16,4
293,24076,17,4
297,24080,18,4
290,24073,19,4
298,24081,20,4
300,24083,1,1
301,24084,2,1
302,24085,3,1
303,24086,4,2
319,24102,5,2
306,24089,6,2
316,24099,7,3
307,24090,8,3
310,24093,9,3
308,24091,10,3
304,24087,11,4
315,24098,12,4
309,24092,13,4
312,24095,14,4
314,24097,15,4
318,24101,16,4
