,resultId,NN_Outcome,NN_Bin
313,24096,17,4
311,24094,18,4
305,24088,19,4
317,24100,20,4
320,24103,1,1
321,24104,2,1
322,24105,3,1
324,24107,4,2
325,24108,5,2
332,24115,6,2
330,24113,7,3
327,24110,8,3
337,24120,9,3
323,24106,10,3
328,24111,11,4
333,24116,12,4
329,24112,13,4
334,24117,14,4
336,24119,15,4
339,24122,16,4
326,24109,17,4
338,24121,18,4
335,24118,19,4
331,24114,20,4
342,24125,1,1
355,24138,2,1
340,24123,3,1
343,24126,4,2
344,24127,5,2
348,24131,6,2
341,24124,7,3
351,24134,8,3
358,24141,9,3
357,24140,10,3
356,24139,11,4
345,24128,12,4
354,24137,13,4
359,24142,14,4
353,24136,15,4
346,24129,16,4
350,24133,17,4
347,24130,18,4
352,24135,19,4
349,24132,20,4
363,24146,1,1
360,24143,2,1
376,24159,3,1
364,24147,4,2
361,24144,5,2
362,24145,6,2
378,24161,7,3
379,24162,8,3
365,24148,9,3
366,24149,10,3
373,24156,11,4
368,24151,12,4
371,24154,13,4
370,24153,14,4
374,24157,15,4
367,24150,16,4
375,24158,17,4
369,24152,18,4
377,24160,19,4
372,24155,20,4
380,24163,1,1
385,24168,2,1
384,24167,3,1
382,24165,4,2
381,24164,5,2
383,24166,6,2
386,24169,7,3
390,24173,8,3
399,24182,9,3
392,24175,10,3
396,24179,11,4
387,24170,12,4
398,24181,13,4
393,24176,14,4
397,24180,15,4
391,24174,16,4
394,24177,17,4
388,24171,18,4
389,24172,19,4
395,24178,20,4
400,24183,1,1
401,24184,2,1
404,24187,3,1
403,24186,4,2
402,24185,5,2
418,24201,6,2
411,24194,7,3
406,24189,8,3
410,24193,9,3
408,24191,10,3
405,24188,11,4
419,24202,12,4
416,24199,13,4
415,24198,14,4
413,24196,15,4
412,24195,16,4
417,24200,17,4
409,24192,18,4
407,24190,19,4
414,24197,20,4
