,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin,SVM_Outcome,SVM_Bin,RNF_Outcome,RNF_Bin,NN_Outcome,NN_Bin
0,24203,Australian Grand Prix,bottas,mercedes,1,1,3,1,16,4,2,1,4,2
1,24204,Australian Grand Prix,hamilton,mercedes,2,1,1,1,1,1,3,1,1,1
2,24205,Australian Grand Prix,max_verstappen,red_bull,3,1,5,2,6,2,7,3,3,1
3,24206,Australian Grand Prix,vettel,ferrari,4,2,2,1,2,1,1,1,2,1
4,24207,Australian Grand Prix,leclerc,ferrari,5,2,6,2,5,2,8,3,8,3
5,24208,Australian Grand Prix,kevin_magnussen,haas,6,2,7,3,18,4,9,3,17,4
6,24209,Australian Grand Prix,hulkenberg,renault,7,3,11,4,3,1,10,3,12,4
7,24210,Australian Grand Prix,raikkonen,alfa,8,3,8,3,14,4,4,2,7,3
8,24211,Australian Grand Prix,stroll,racing_point,9,3,16,4,20,4,11,4,10,3
9,24212,Australian Grand Prix,kvyat,toro_rosso,10,3,15,4,9,3,12,4,20,4
10,24213,Australian Grand Prix,gasly,red_bull,11,4,17,4,11,4,13,4,14,4
11,24214,Australian Grand Prix,norris,mclaren,12,4,9,3,4,2,14,4,5,2
12,24215,Australian Grand Prix,perez,racing_point,13,4,10,3,19,4,15,4,11,4
13,24216,Australian Grand Prix,albon,toro_rosso,14,4,13,4,8,3,16,4,15,4
14,24217,Australian Grand Prix,giovinazzi,alfa,15,4,14,4,15,4,5,2,6,2
15,24218,Australian Grand Prix,russell,williams,16,4,20,4,12,4,17,4,18,4
16,24219,Australian Grand Prix,kubica,williams,17,4,19,4,13,4,18,4,19,4
17,24220,Australian Grand Prix,grosjean,haas,0,4,4,2,17,4,19,4,13,4
18,24221,Australian Grand Prix,ricciardo,renault,0,4,12,4,7,3,6,2,9,3
19,24222,Australian Grand Prix,sainz,mclaren,0,4,18,4,10,3,20,4,16,4
20,24223,Bahrain Grand Prix,hamilton,mercedes,1,1,2,1,3,1,3,1,1,1
21,24224,Bahrain Grand Prix,bottas,mercedes,2,1,4,2,17,4,5,2,4,2
22,24225,Bahrain Grand Prix,leclerc,ferrari,3,1,3,1,13,4,1,1,10,3
23,24226,Bahrain Grand Prix,max_verstappen,red_bull,4,2,5,2,14,4,6,2,3,1
24,24227,Bahrain Grand Prix,vettel,ferrari,5,2,1,1,1,1,2,1,2,1
25,24228,Bahrain Grand Prix,norris,mclaren,6,2,10,3,11,4,7,3,8,3
26,24229,Bahrain Grand Prix,raikkonen,alfa,7,3,7,3,7,3,8,3,7,3
27,24230,Bahrain Grand Prix,gasly,red_bull,8,3,13,4,9,3,9,3,12,4
28,24231,Bahrain Grand Prix,albon,toro_rosso,9,3,12,4,8,3,10,3,13,4
29,24232,Bahrain Grand Prix,perez,racing_point,10,3,14,4,20,4,11,4,17,4
30,24233,Bahrain Grand Prix,giovinazzi,alfa,11,4,16,4,15,4,12,4,5,2
31,24234,Bahrain Grand Prix,kvyat,toro_rosso,12,4,15,4,6,2,13,4,20,4
32,24235,Bahrain Grand Prix,kevin_magnussen,haas,13,4,6,2,18,4,14,4,14,4
33,24236,Bahrain Grand Prix,stroll,racing_point,14,4,18,4,19,4,15,4,11,4
34,24237,Bahrain Grand Prix,russell,williams,15,4,20,4,4,2,16,4,18,4
35,24238,Bahrain Grand Prix,kubica,williams,16,4,19,4,2,1,17,4,19,4
36,24239,Bahrain Grand Prix,hulkenberg,renault,0,4,17,4,5,2,18,4,15,4
37,24240,Bahrain Grand Prix,ricciardo,renault,0,4,11,4,10,3,4,2,6,2
38,24241,Bahrain Grand Prix,sainz,mclaren,0,4,8,3,12,4,19,4,9,3
39,24242,Bahrain Grand Prix,grosjean,haas,0,4,9,3,16,4,20,4,16,4
40,24243,Chinese Grand Prix,hamilton,mercedes,1,1,1,1,1,1,2,1,1,1
41,24244,Chinese Grand Prix,bottas,mercedes,2,1,3,1,11,4,3,1,3,1
42,24245,Chinese Grand Prix,vettel,ferrari,3,1,4,2,13,4,5,2,2,1
43,24246,Chinese Grand Prix,max_verstappen,red_bull,4,2,6,2,5,2,6,2,4,2
44,24247,Chinese Grand Prix,leclerc,ferrari,5,2,5,2,3,1,7,3,9,3
45,24248,Chinese Grand Prix,gasly,red_bull,6,2,7,3,7,3,1,1,14,4
46,24249,Chinese Grand Prix,ricciardo,renault,7,3,8,3,8,3,4,2,6,2
47,24250,Chinese Grand Prix,perez,racing_point,8,3,14,4,19,4,8,3,17,4
48,24251,Chinese Grand Prix,raikkonen,alfa,9,3,12,4,16,4,9,3,11,4
49,24252,Chinese Grand Prix,albon,toro_rosso,10,3,2,1,2,1,10,3,5,2
50,24253,Chinese Grand Prix,grosjean,haas,11,4,9,3,17,4,11,4,15,4
51,24254,Chinese Grand Prix,stroll,racing_point,12,4,17,4,20,4,12,4,10,3
52,24255,Chinese Grand Prix,kevin_magnussen,haas,13,4,11,4,18,4,13,4,16,4
53,24256,Chinese Grand Prix,sainz,mclaren,14,4,15,4,6,2,14,4,13,4
54,24257,Chinese Grand Prix,giovinazzi,alfa,15,4,20,4,15,4,15,4,7,3
55,24258,Chinese Grand Prix,russell,williams,16,4,19,4,12,4,16,4,19,4
56,24259,Chinese Grand Prix,kubica,williams,17,4,18,4,14,4,17,4,20,4
57,24260,Chinese Grand Prix,norris,mclaren,18,4,16,4,9,3,18,4,12,4
58,24261,Chinese Grand Prix,kvyat,toro_rosso,0,4,13,4,4,2,19,4,18,4
59,24262,Chinese Grand Prix,hulkenberg,renault,0,4,10,3,10,3,20,4,8,3
60,24263,Azerbaijan Grand Prix,bottas,mercedes,1,1,5,2,2,1,3,1,3,1
61,24264,Azerbaijan Grand Prix,hamilton,mercedes,2,1,3,1,1,1,1,1,1,1
62,24265,Azerbaijan Grand Prix,vettel,ferrari,3,1,6,2,17,4,7,3,4,2
63,24266,Azerbaijan Grand Prix,max_verstappen,red_bull,4,2,7,3,8,3,8,3,2,1
64,24267,Azerbaijan Grand Prix,leclerc,ferrari,5,2,11,4,11,4,9,3,15,4
65,24268,Azerbaijan Grand Prix,perez,racing_point,6,2,8,3,3,1,10,3,10,3
66,24269,Azerbaijan Grand Prix,sainz,mclaren,7,3,12,4,15,4,11,4,11,4
67,24270,Azerbaijan Grand Prix,norris,mclaren,8,3,10,3,12,4,12,4,7,3
68,24271,Azerbaijan Grand Prix,stroll,racing_point,9,3,17,4,7,3,13,4,13,4
69,24272,Azerbaijan Grand Prix,raikkonen,alfa,10,3,1,1,4,2,2,1,5,2
70,24273,Azerbaijan Grand Prix,albon,toro_rosso,11,4,14,4,14,4,14,4,16,4
71,24274,Azerbaijan Grand Prix,giovinazzi,alfa,12,4,20,4,13,4,15,4,8,3
72,24275,Azerbaijan Grand Prix,kevin_magnussen,haas,13,4,15,4,5,2,16,4,19,4
73,24276,Azerbaijan Grand Prix,hulkenberg,renault,14,4,18,4,19,4,17,4,14,4
74,24277,Azerbaijan Grand Prix,russell,williams,15,4,19,4,18,4,18,4,20,4
