,resultId,SVM_Outcome,SVM_Bin
1,24204,1,1
3,24206,2,1
6,24209,3,1
11,24214,4,2
4,24207,5,2
2,24205,6,2
18,24221,7,3
13,24216,8,3
9,24212,9,3
19,24222,10,3
10,24213,11,4
15,24218,12,4
16,24219,13,4
7,24210,14,4
14,24217,15,4
0,24203,16,4
17,24220,17,4
5,24208,18,4
12,24215,19,4
8,24211,20,4
24,24227,1,1
35,24238,2,1
20,24223,3,1
34,24237,4,2
36,24239,5,2
31,24234,6,2
26,24229,7,3
28,24231,8,3
27,24230,9,3
37,24240,10,3
25,24228,11,4
38,24241,12,4
22,24225,13,4
23,24226,14,4
30,24233,15,4
39,24242,16,4
21,24224,17,4
32,24235,18,4
33,24236,19,4
29,24232,20,4
40,24243,1,1
49,24252,2,1
44,24247,3,1
43,24246,4,2
58,24261,5,2
53,24256,6,2
45,24248,7,3
46,24249,8,3
57,24260,9,3
59,24262,10,3
41,24244,11,4
55,24258,12,4
42,24245,13,4
56,24259,14,4
54,24257,15,4
48,24251,16,4
50,24253,17,4
52,24255,18,4
47,24250,19,4
51,24254,20,4
61,24264,1,1
60,24263,2,1
65,24268,3,1
69,24272,4,2
72,24275,5,2
76,24279,6,2
68,24271,7,3
63,24266,8,3
75,24278,9,3
78,24281,10,3
64,24267,11,4
67,24270,12,4
71,24274,13,4
70,24273,14,4
66,24269,15,4
79,24282,16,4
62,24265,17,4
74,24277,18,4
73,24276,19,4
77,24280,20,4
80,24283,1,1
92,24295,2,1
85,24288,3,1
99,24302,4,2
82,24285,5,2
84,24287,6,2
88,24291,7,3
83,24286,8,3
87,24290,9,3
90,24293,10,3
91,24294,11,4
96,24299,12,4
97,24300,13,4
81,24284,14,4
95,24298,15,4
93,24296,16,4
89,24292,17,4
86,24289,18,4
98,24301,19,4
94,24297,20,4
100,24306,1,1
116,24322,2,1
102,24308,3,1
101,24307,4,2
103,24309,5,2
108,24314,6,2
104,24310,7,3
106,24312,8,3
107,24313,9,3
105,24311,10,3
113,24319,11,4
110,24316,12,4
119,24325,13,4
114,24320,14,4
109,24315,15,4
117,24323,16,4
118,24324,17,4
111,24317,18,4
115,24321,19,4
112,24318,20,4
120,24326,1,1
121,24327,2,1
122,24328,3,1
127,24333,4,2
125,24331,5,2
139,24345,6,2
126,24332,7,3
130,24336,8,3
129,24335,9,3
124,24330,10,3
138,24344,11,4
135,24341,12,4
137,24343,13,4
132,24338,14,4
136,24342,15,4
134,24340,16,4
123,24329,17,4
128,24334,18,4
131,24337,19,4
133,24339,20,4
140,24346,1,1
141,24347,2,1
142,24348,3,1
143,24349,4,2
153,24359,5,2
158,24364,6,2
154,24360,7,3
148,24354,8,3
145,24351,9,3
147,24353,10,3
149,24355,11,4
150,24356,12,4
155,24361,13,4
