,resultId,RNF_Outcome,RNF_Bin
3,24206,1,1
0,24203,2,1
1,24204,3,1
7,24210,4,2
14,24217,5,2
18,24221,6,2
2,24205,7,3
4,24207,8,3
5,24208,9,3
6,24209,10,3
8,24211,11,4
9,24212,12,4
10,24213,13,4
11,24214,14,4
12,24215,15,4
13,24216,16,4
15,24218,17,4
16,24219,18,4
17,24220,19,4
19,24222,20,4
22,24225,1,1
24,24227,2,1
20,24223,3,1
37,24240,4,2
21,24224,5,2
23,24226,6,2
25,24228,7,3
26,24229,8,3
27,24230,9,3
28,24231,10,3
29,24232,11,4
30,24233,12,4
31,24234,13,4
32,24235,14,4
33,24236,15,4
34,24237,16,4
35,24238,17,4
36,24239,18,4
38,24241,19,4
39,24242,20,4
45,24248,1,1
40,24243,2,1
41,24244,3,1
46,24249,4,2
42,24245,5,2
43,24246,6,2
44,24247,7,3
47,24250,8,3
48,24251,9,3
49,24252,10,3
50,24253,11,4
51,24254,12,4
52,24255,13,4
53,24256,14,4
54,24257,15,4
55,24258,16,4
56,24259,17,4
57,24260,18,4
58,24261,19,4
59,24262,20,4
61,24264,1,1
69,24272,2,1
60,24263,3,1
75,24278,4,2
76,24279,5,2
79,24282,6,2
62,24265,7,3
63,24266,8,3
64,24267,9,3
65,24268,10,3
66,24269,11,4
67,24270,12,4
68,24271,13,4
70,24273,14,4
71,24274,15,4
72,24275,16,4
73,24276,17,4
74,24277,18,4
77,24280,19,4
78,24281,20,4
80,24283,1,1
81,24284,2,1
82,24285,3,1
83,24286,4,2
92,24295,5,2
84,24287,6,2
85,24288,7,3
86,24289,8,3
87,24290,9,3
88,24291,10,3
89,24292,11,4
90,24293,12,4
91,24294,13,4
93,24296,14,4
94,24297,15,4
95,24298,16,4
96,24299,17,4
97,24300,18,4
98,24301,19,4
99,24302,20,4
100,24306,1,1
102,24308,2,1
101,24307,3,1
103,24309,4,2
104,24310,5,2
105,24311,6,2
106,24312,7,3
107,24313,8,3
108,24314,9,3
109,24315,10,3
110,24316,11,4
111,24317,12,4
112,24318,13,4
113,24319,14,4
114,24320,15,4
115,24321,16,4
116,24322,17,4
117,24323,18,4
118,24324,19,4
119,24325,20,4
121,24327,1,1
120,24326,2,1
127,24333,3,1
122,24328,4,2
123,24329,5,2
124,24330,6,2
125,24331,7,3
126,24332,8,3
128,24334,9,3
129,24335,10,3
130,24336,11,4
131,24337,12,4
132,24338,13,4
133,24339,14,4
134,24340,15,4
135,24341,16,4
136,24342,17,4
137,24343,18,4
138,24344,19,4
139,24345,20,4
140,24346,1,1
143,24349,2,1
149,24355,3,1
142,24348,4,2
141,24347,5,2
144,24350,6,2
145,24351,7,3
146,24352,8,3
147,24353,9,3
148,24354,10,3
150,24356,11,4
151,24357,12,4
152,24358,13,4
153,24359,14,4
154,24360,15,4
155,24361,16,4
156,24362,17,4
157,24363,18,4
158,24364,19,4
159,24365,20,4
160,24366,1,1
161,24367,2,1
166,24372,3,1
162,24368,4,2
164,24370,5,2
169,24375,6,2
177,24383,7,3
163,24369,8,3
165,24371,9,3
167,24373,10,3
168,24374,11,4
170,24376,12,4
171,24377,13,4
172,24378,14,4
173,24379,15,4
174,24380,16,4
175,24381,17,4
176,24382,18,4
178,24384,19,4
179,24385,20,4
180,24386,1,1
181,24387,2,1
182,24388,3,1
183,24389,4,2
184,24390,5,2
185,24391,6,2
186,24392,7,3
187,24393,8,3
188,24394,9,3
189,24395,10,3
190,24396,11,4
191,24397,12,4
192,24398,13,4
193,24399,14,4
194,24400,15,4
195,24401,16,4
196,24402,17,4
197,24403,18,4
198,24404,19,4
199,24405,20,4
208,24414,1,1
200,24406,2,1
201,24407,3,1
202,24408,4,2
203,24409,5,2
204,24410,6,2
205,24411,7,3
206,24412,8,3
207,24413,9,3
209,24415,10,3
210,24416,11,4
211,24417,12,4
212,24418,13,4
213,24419,14,4
214,24420,15,4
215,24421,16,4
216,24422,17,4
217,24423,18,4
218,24424,19,4
219,24425,20,4
221,24427,1,1
220,24426,2,1
223,24429,3,1
225,24431,4,2
222,24428,5,2
224,24430,6,2
226,24432,7,3
227,24433,8,3
228,24434,9,3
229,24435,10,3
230,24436,11,4
231,24437,12,4
232,24438,13,4
233,24439,14,4
234,24440,15,4
235,24441,16,4
236,24442,17,4
237,24443,18,4
238,24444,19,4
239,24445,20,4
240,24446,1,1
241,24447,2,1
243,24449,3,1
259,24465,4,2
255,24461,5,2
256,24462,6,2
242,24448,7,3
244,24450,8,3
245,24451,9,3
246,24452,10,3
247,24453,11,4
248,24454,12,4
249,24455,13,4
250,24456,14,4
251,24457,15,4
252,24458,16,4
