,resultId,NN_Outcome,NN_Bin
1,24204,1,1
3,24206,2,1
2,24205,3,1
0,24203,4,2
11,24214,5,2
14,24217,6,2
7,24210,7,3
4,24207,8,3
18,24221,9,3
8,24211,10,3
12,24215,11,4
6,24209,12,4
17,24220,13,4
10,24213,14,4
13,24216,15,4
19,24222,16,4
5,24208,17,4
15,24218,18,4
16,24219,19,4
9,24212,20,4
20,24223,1,1
24,24227,2,1
23,24226,3,1
21,24224,4,2
30,24233,5,2
37,24240,6,2
26,24229,7,3
25,24228,8,3
38,24241,9,3
22,24225,10,3
33,24236,11,4
27,24230,12,4
28,24231,13,4
32,24235,14,4
36,24239,15,4
39,24242,16,4
29,24232,17,4
34,24237,18,4
35,24238,19,4
31,24234,20,4
40,24243,1,1
42,24245,2,1
41,24244,3,1
43,24246,4,2
49,24252,5,2
46,24249,6,2
54,24257,7,3
59,24262,8,3
44,24247,9,3
51,24254,10,3
48,24251,11,4
57,24260,12,4
53,24256,13,4
45,24248,14,4
50,24253,15,4
52,24255,16,4
47,24250,17,4
58,24261,18,4
55,24258,19,4
56,24259,20,4
61,24264,1,1
63,24266,2,1
60,24263,3,1
62,24265,4,2
69,24272,5,2
79,24282,6,2
67,24270,7,3
71,24274,8,3
75,24278,9,3
65,24268,10,3
66,24269,11,4
76,24279,12,4
68,24271,13,4
73,24276,14,4
64,24267,15,4
70,24273,16,4
77,24280,17,4
78,24281,18,4
72,24275,19,4
74,24277,20,4
80,24283,1,1
82,24285,2,1
83,24286,3,1
81,24284,4,2
92,24295,5,2
95,24298,6,2
84,24287,7,3
98,24301,8,3
85,24288,9,3
99,24302,10,3
91,24294,11,4
93,24296,12,4
89,24292,13,4
87,24290,14,4
90,24293,15,4
86,24289,16,4
88,24291,17,4
94,24297,18,4
97,24300,19,4
96,24299,20,4
100,24306,1,1
101,24307,2,1
103,24309,3,1
102,24308,4,2
108,24314,5,2
110,24316,6,2
118,24324,7,3
105,24311,8,3
115,24321,9,3
104,24310,10,3
116,24322,11,4
107,24313,12,4
113,24319,13,4
111,24317,14,4
119,24325,15,4
106,24312,16,4
109,24315,17,4
112,24318,18,4
114,24320,19,4
117,24323,20,4
120,24326,1,1
121,24327,2,1
125,24331,3,1
124,24330,4,2
132,24338,5,2
123,24329,6,2
126,24332,7,3
122,24328,8,3
139,24345,9,3
127,24333,10,3
136,24342,11,4
128,24334,12,4
130,24336,13,4
134,24340,14,4
138,24344,15,4
129,24335,16,4
133,24339,17,4
131,24337,18,4
135,24341,19,4
137,24343,20,4
140,24346,1,1
144,24350,2,1
143,24349,3,1
148,24354,4,2
141,24347,5,2
155,24361,6,2
142,24348,7,3
150,24356,8,3
145,24351,9,3
147,24353,10,3
149,24355,11,4
154,24360,12,4
146,24352,13,4
