,resultId,NN_Outcome,NN_Bin
152,24358,14,4
158,24364,15,4
153,24359,16,4
151,24357,17,4
159,24365,18,4
157,24363,19,4
156,24362,20,4
164,24370,1,1
160,24366,2,1
162,24368,3,1
163,24369,4,2
177,24383,5,2
169,24375,6,2
165,24371,7,3
168,24374,8,3
161,24367,9,3
171,24377,10,3
173,24379,11,4
166,24372,12,4
172,24378,13,4
175,24381,14,4
178,24384,15,4
170,24376,16,4
167,24373,17,4
174,24380,18,4
176,24382,19,4
179,24385,20,4
180,24386,1,1
181,24387,2,1
184,24390,3,1
195,24401,4,2
186,24392,5,2
197,24403,6,2
190,24396,7,3
182,24388,8,3
187,24393,9,3
189,24395,10,3
192,24398,11,4
191,24397,12,4
183,24389,13,4
185,24391,14,4
198,24404,15,4
196,24402,16,4
199,24405,17,4
188,24394,18,4
193,24399,19,4
194,24400,20,4
208,24414,1,1
214,24420,2,1
200,24406,3,1
211,24417,4,2
213,24419,5,2
212,24418,6,2
218,24424,7,3
215,24421,8,3
204,24410,9,3
203,24409,10,3
216,24422,11,4
219,24425,12,4
201,24407,13,4
206,24412,14,4
217,24423,15,4
205,24411,16,4
210,24416,17,4
207,24413,18,4
202,24408,19,4
209,24415,20,4
220,24426,1,1
221,24427,2,1
222,24428,3,1
227,24433,4,2
228,24434,5,2
237,24443,6,2
223,24429,7,3
226,24432,8,3
231,24437,9,3
225,24431,10,3
236,24442,11,4
224,24430,12,4
239,24445,13,4
229,24435,14,4
233,24439,15,4
235,24441,16,4
232,24438,17,4
230,24436,18,4
234,24440,19,4
238,24444,20,4
241,24447,1,1
243,24449,2,1
259,24465,3,1
242,24448,4,2
255,24461,5,2
257,24463,6,2
253,24459,7,3
240,24446,8,3
250,24456,9,3
256,24462,10,3
249,24455,11,4
245,24451,12,4
247,24453,13,4
252,24458,14,4
244,24450,15,4
258,24464,16,4
251,24457,17,4
248,24454,18,4
254,24460,19,4
246,24452,20,4
262,24468,1,1
272,24478,2,1
261,24467,3,1
274,24480,4,2
263,24469,5,2
265,24471,6,2
268,24474,7,3
260,24466,8,3
271,24477,9,3
264,24470,10,3
279,24485,11,4
267,24473,12,4
269,24475,13,4
270,24476,14,4
273,24479,15,4
277,24483,16,4
278,24484,17,4
266,24472,18,4
275,24481,19,4
276,24482,20,4
283,24489,1,1
280,24486,2,1
282,24488,3,1
285,24491,4,2
284,24490,5,2
281,24487,6,2
289,24495,7,3
286,24492,8,3
292,24498,9,3
291,24497,10,3
288,24494,11,4
297,24503,12,4
287,24493,13,4
293,24499,14,4
298,24504,15,4
299,24505,16,4
296,24502,17,4
290,24496,18,4
295,24501,19,4
294,24500,20,4
300,24506,1,1
304,24510,2,1
301,24507,3,1
317,24523,4,2
307,24513,5,2
303,24509,6,2
309,24515,7,3
305,24511,8,3
314,24520,9,3
302,24508,10,3
318,24524,11,4
310,24516,12,4
312,24518,13,4
319,24525,14,4
306,24512,15,4
308,24514,16,4
316,24522,17,4
313,24519,18,4
315,24521,19,4
311,24517,20,4
322,24528,1,1
321,24527,2,1
337,24543,3,1
320,24526,4,2
323,24529,5,2
333,24539,6,2
330,24536,7,3
336,24542,8,3
328,24534,9,3
324,24530,10,3
325,24531,11,4
331,24537,12,4
338,24544,13,4
326,24532,14,4
332,24538,15,4
339,24545,16,4
329,24535,17,4
327,24533,18,4
334,24540,19,4
335,24541,20,4
340,24546,1,1
345,24551,2,1
341,24547,3,1
344,24550,4,2
342,24548,5,2
343,24549,6,2
359,24565,7,3
353,24559,8,3
352,24558,9,3
347,24553,10,3
349,24555,11,4
348,24554,12,4
358,24564,13,4
351,24557,14,4
346,24552,15,4
355,24561,16,4
354,24560,17,4
350,24556,18,4
357,24563,19,4
356,24562,20,4
361,24567,1,1
379,24585,2,1
360,24566,3,1
362,24568,4,2
364,24570,5,2
369,24575,6,2
366,24572,7,3
373,24579,8,3
365,24571,9,3
363,24569,10,3
372,24578,11,4
367,24573,12,4
368,24574,13,4
370,24576,14,4
375,24581,15,4
377,24583,16,4
376,24582,17,4
374,24580,18,4
378,24584,19,4
371,24577,20,4
386,24592,1,1
396,24602,2,1
380,24586,3,1
393,24599,4,2
399,24605,5,2
383,24589,6,2
384,24590,7,3
385,24591,8,3
387,24593,9,3
398,24604,10,3
381,24587,11,4
397,24603,12,4
394,24600,13,4
392,24598,14,4
390,24596,15,4
388,24594,16,4
382,24588,17,4
391,24597,18,4
389,24595,19,4
395,24601,20,4
400,24606,1,1
401,24607,2,1
404,24610,3,1
405,24611,4,2
410,24616,5,2
407,24613,6,2
402,24608,7,3
415,24621,8,3
419,24625,9,3
411,24617,10,3
409,24615,11,4
417,24623,12,4
412,24618,13,4
403,24609,14,4
406,24612,15,4
413,24619,16,4
408,24614,17,4
416,24622,18,4
414,24620,19,4
418,24624,20,4
