,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin
3,23782,Australian Grand Prix,vettel,ferrari,1,1,4,2
0,23783,Australian Grand Prix,hamilton,mercedes,2,1,1,1
2,23784,Australian Grand Prix,raikkonen,ferrari,3,1,3,1
15,23785,Australian Grand Prix,ricciardo,red_bull,4,2,16,4
17,23786,Australian Grand Prix,alonso,mclaren,5,2,18,4
8,23787,Australian Grand Prix,max_verstappen,red_bull,6,2,9,3
13,23788,Australian Grand Prix,hulkenberg,renault,7,3,14,4
28,23789,Australian Grand Prix,bottas,mercedes,8,3,29,4
21,23790,Australian Grand Prix,vandoorne,mclaren,9,3,22,4
18,23791,Australian Grand Prix,sainz,renault,10,3,19,4
22,23792,Australian Grand Prix,perez,force_india,11,4,23,4
27,23793,Australian Grand Prix,ocon,force_india,12,4,28,4
34,23794,Australian Grand Prix,leclerc,sauber,13,4,35,4
24,23795,Australian Grand Prix,stroll,williams,14,4,25,4
31,23796,Australian Grand Prix,brendon_hartley,toro_rosso,15,4,32,4
6,23797,Australian Grand Prix,grosjean,haas,0,4,7,3
10,23798,Australian Grand Prix,kevin_magnussen,haas,0,4,11,4
39,23799,Australian Grand Prix,gasly,toro_rosso,0,4,40,4
32,23800,Australian Grand Prix,ericsson,sauber,0,4,33,4
37,23801,Australian Grand Prix,sirotkin,williams,0,4,38,4
40,23802,Bahrain Grand Prix,vettel,ferrari,1,1,1,1
45,23803,Bahrain Grand Prix,bottas,mercedes,2,1,6,2
53,23804,Bahrain Grand Prix,hamilton,mercedes,3,1,14,4
49,23805,Bahrain Grand Prix,gasly,toro_rosso,4,2,10,3
51,23806,Bahrain Grand Prix,kevin_magnussen,haas,5,2,12,4
54,23807,Bahrain Grand Prix,hulkenberg,renault,6,2,15,4
62,23808,Bahrain Grand Prix,alonso,mclaren,7,3,23,4
68,23809,Bahrain Grand Prix,vandoorne,mclaren,8,3,29,4
73,23810,Bahrain Grand Prix,ericsson,sauber,9,3,34,4
56,23811,Bahrain Grand Prix,ocon,force_india,10,3,17,4
60,23812,Bahrain Grand Prix,sainz,renault,11,4,21,4
78,23813,Bahrain Grand Prix,leclerc,sauber,12,4,39,4
67,23814,Bahrain Grand Prix,grosjean,haas,13,4,28,4
79,23815,Bahrain Grand Prix,stroll,williams,14,4,40,4
75,23816,Bahrain Grand Prix,sirotkin,williams,15,4,36,4
63,23817,Bahrain Grand Prix,perez,force_india,16,4,24,4
61,23818,Bahrain Grand Prix,brendon_hartley,toro_rosso,17,4,22,4
42,23819,Bahrain Grand Prix,raikkonen,ferrari,0,4,3,1
70,23820,Bahrain Grand Prix,max_verstappen,red_bull,0,4,31,4
47,23821,Bahrain Grand Prix,ricciardo,red_bull,0,4,8,3
91,23822,Chinese Grand Prix,ricciardo,red_bull,1,1,12,4
87,23823,Chinese Grand Prix,bottas,mercedes,2,1,8,3
83,23824,Chinese Grand Prix,raikkonen,ferrari,3,1,4,2
86,23825,Chinese Grand Prix,hamilton,mercedes,4,2,7,3
90,23826,Chinese Grand Prix,max_verstappen,red_bull,5,2,11,4
93,23827,Chinese Grand Prix,hulkenberg,renault,6,2,14,4
104,23828,Chinese Grand Prix,alonso,mclaren,7,3,25,4
80,23829,Chinese Grand Prix,vettel,ferrari,8,3,1,1
100,23830,Chinese Grand Prix,sainz,renault,9,3,21,4
101,23831,Chinese Grand Prix,kevin_magnussen,haas,10,3,22,4
106,23832,Chinese Grand Prix,ocon,force_india,11,4,27,4
98,23833,Chinese Grand Prix,perez,force_india,12,4,19,4
108,23834,Chinese Grand Prix,vandoorne,mclaren,13,4,29,4
116,23835,Chinese Grand Prix,stroll,williams,14,4,37,4
112,23836,Chinese Grand Prix,sirotkin,williams,15,4,33,4
119,23837,Chinese Grand Prix,ericsson,sauber,16,4,40,4
96,23838,Chinese Grand Prix,grosjean,haas,17,4,17,4
114,23839,Chinese Grand Prix,gasly,toro_rosso,18,4,35,4
118,23840,Chinese Grand Prix,leclerc,sauber,19,4,39,4
109,23841,Chinese Grand Prix,brendon_hartley,toro_rosso,20,4,30,4
123,23842,Azerbaijan Grand Prix,hamilton,mercedes,1,1,4,2
131,23843,Azerbaijan Grand Prix,raikkonen,ferrari,2,1,12,4
137,23844,Azerbaijan Grand Prix,perez,force_india,3,1,18,4
122,23845,Azerbaijan Grand Prix,vettel,ferrari,4,2,3,1
139,23846,Azerbaijan Grand Prix,sainz,renault,5,2,20,4
149,23847,Azerbaijan Grand Prix,leclerc,sauber,6,2,30,4
143,23848,Azerbaijan Grand Prix,alonso,mclaren,7,3,24,4
142,23849,Azerbaijan Grand Prix,stroll,williams,8,3,23,4
153,23850,Azerbaijan Grand Prix,vandoorne,mclaren,9,3,34,4
159,23851,Azerbaijan Grand Prix,brendon_hartley,toro_rosso,10,3,40,4
158,23852,Azerbaijan Grand Prix,ericsson,sauber,11,4,39,4
156,23853,Azerbaijan Grand Prix,gasly,toro_rosso,12,4,37,4
151,23854,Azerbaijan Grand Prix,kevin_magnussen,haas,13,4,32,4
128,23855,Azerbaijan Grand Prix,bottas,mercedes,0,4,9,3
157,23856,Azerbaijan Grand Prix,grosjean,haas,0,4,38,4
133,23857,Azerbaijan Grand Prix,max_verstappen,red_bull,0,4,14,4
129,23858,Azerbaijan Grand Prix,ricciardo,red_bull,0,4,10,3
150,23859,Azerbaijan Grand Prix,hulkenberg,renault,0,4,31,4
135,23860,Azerbaijan Grand Prix,ocon,force_india,0,4,16,4
144,23861,Azerbaijan Grand Prix,sirotkin,williams,0,4,25,4
160,23862,Spanish Grand Prix,hamilton,mercedes,1,1,1,1
166,23863,Spanish Grand Prix,bottas,mercedes,2,1,7,3
170,23864,Spanish Grand Prix,max_verstappen,red_bull,3,1,11,4
164,23865,Spanish Grand Prix,vettel,ferrari,4,2,5,2
172,23866,Spanish Grand Prix,ricciardo,red_bull,5,2,13,4
175,23867,Spanish Grand Prix,kevin_magnussen,haas,6,2,16,4
178,23868,Spanish Grand Prix,sainz,renault,7,3,19,4
174,23869,Spanish Grand Prix,alonso,mclaren,8,3,15,4
190,23870,Spanish Grand Prix,perez,force_india,9,3,31,4
188,23871,Spanish Grand Prix,leclerc,sauber,10,3,29,4
196,23872,Spanish Grand Prix,stroll,williams,11,4,37,4
199,23873,Spanish Grand Prix,brendon_hartley,toro_rosso,12,4,40,4
194,23874,Spanish Grand Prix,ericsson,sauber,13,4,35,4
197,23875,Spanish Grand Prix,sirotkin,williams,14,4,38,4
181,23876,Spanish Grand Prix,vandoorne,mclaren,0,4,22,4
186,23877,Spanish Grand Prix,ocon,force_india,0,4,27,4
167,23878,Spanish Grand Prix,raikkonen,ferrari,0,4,8,3
177,23879,Spanish Grand Prix,grosjean,haas,0,4,18,4
184,23880,Spanish Grand Prix,gasly,toro_rosso,0,4,25,4
193,23881,Spanish Grand Prix,hulkenberg,renault,0,4,34,4
203,23882,Monaco Grand Prix,ricciardo,red_bull,1,1,4,2
201,23883,Monaco Grand Prix,vettel,ferrari,2,1,2,1
202,23884,Monaco Grand Prix,hamilton,mercedes,3,1,3,1
206,23885,Monaco Grand Prix,raikkonen,ferrari,4,2,7,3
209,23886,Monaco Grand Prix,bottas,mercedes,5,2,10,3
212,23887,Monaco Grand Prix,ocon,force_india,6,2,13,4
219,23888,Monaco Grand Prix,gasly,toro_rosso,7,3,20,4
222,23889,Monaco Grand Prix,hulkenberg,renault,8,3,23,4
239,23890,Monaco Grand Prix,max_verstappen,red_bull,9,3,40,4
215,23891,Monaco Grand Prix,sainz,renault,10,3,16,4
232,23892,Monaco Grand Prix,ericsson,sauber,11,4,33,4
217,23893,Monaco Grand Prix,perez,force_india,12,4,18,4
237,23894,Monaco Grand Prix,kevin_magnussen,haas,13,4,38,4
225,23895,Monaco Grand Prix,vandoorne,mclaren,14,4,26,4
231,23896,Monaco Grand Prix,grosjean,haas,15,4,32,4
226,23897,Monaco Grand Prix,sirotkin,williams,16,4,27,4
234,23898,Monaco Grand Prix,stroll,williams,17,4,35,4
227,23899,Monaco Grand Prix,leclerc,sauber,0,4,28,4
229,23900,Monaco Grand Prix,brendon_hartley,toro_rosso,0,4,30,4
210,23901,Monaco Grand Prix,alonso,mclaren,0,4,11,4
241,23902,Canadian Grand Prix,vettel,ferrari,1,1,2,1
244,23903,Canadian Grand Prix,bottas,mercedes,2,1,5,2
246,23904,Canadian Grand Prix,max_verstappen,red_bull,3,1,7,3
252,23905,Canadian Grand Prix,ricciardo,red_bull,4,2,13,4
245,23906,Canadian Grand Prix,hamilton,mercedes,5,2,6,2
248,23907,Canadian Grand Prix,raikkonen,ferrari,6,2,9,3
254,23908,Canadian Grand Prix,hulkenberg,renault,7,3,15,4
258,23909,Canadian Grand Prix,sainz,renault,8,3,19,4
255,23910,Canadian Grand Prix,ocon,force_india,9,3,16,4
267,23911,Canadian Grand Prix,leclerc,sauber,10,3,28,4
272,23912,Canadian Grand Prix,gasly,toro_rosso,11,4,33,4
276,23913,Canadian Grand Prix,grosjean,haas,12,4,37,4
261,23914,Canadian Grand Prix,kevin_magnussen,haas,13,4,22,4
259,23915,Canadian Grand Prix,perez,force_india,14,4,20,4
279,23916,Canadian Grand Prix,ericsson,sauber,15,4,40,4
271,23917,Canadian Grand Prix,vandoorne,mclaren,16,4,32,4
278,23918,Canadian Grand Prix,sirotkin,williams,17,4,39,4
266,23919,Canadian Grand Prix,alonso,mclaren,0,4,27,4
265,23920,Canadian Grand Prix,brendon_hartley,toro_rosso,0,4,26,4
274,23921,Canadian Grand Prix,stroll,williams,0,4,35,4
280,23922,French Grand Prix,hamilton,mercedes,1,1,1,1
286,23923,French Grand Prix,max_verstappen,red_bull,2,1,7,3
288,23924,French Grand Prix,raikkonen,ferrari,3,1,9,3
289,23925,French Grand Prix,ricciardo,red_bull,4,2,10,3
282,23926,French Grand Prix,vettel,ferrari,5,2,3,1
297,23927,French Grand Prix,kevin_magnussen,haas,6,2,18,4
283,23928,French Grand Prix,bottas,mercedes,7,3,4,2
293,23929,French Grand Prix,sainz,renault,8,3,14,4
303,23930,French Grand Prix,hulkenberg,renault,9,3,24,4
295,23931,French Grand Prix,leclerc,sauber,10,3,16,4
294,23932,French Grand Prix,grosjean,haas,11,4,15,4
314,23933,French Grand Prix,vandoorne,mclaren,12,4,35,4
311,23934,French Grand Prix,ericsson,sauber,13,4,32,4
318,23935,French Grand Prix,brendon_hartley,toro_rosso,14,4,39,4
315,23936,French Grand Prix,sirotkin,williams,15,4,36,4
309,23937,French Grand Prix,alonso,mclaren,16,4,30,4
316,23938,French Grand Prix,stroll,williams,17,4,37,4
304,23939,French Grand Prix,perez,force_india,0,4,25,4
301,23940,French Grand Prix,ocon,force_india,0,4,22,4
308,23941,French Grand Prix,gasly,toro_rosso,0,4,29,4
329,23942,Austrian Grand Prix,max_verstappen,red_bull,1,1,10,3
324,23943,Austrian Grand Prix,raikkonen,ferrari,2,1,5,2
331,23944,Austrian Grand Prix,vettel,ferrari,3,1,12,4
328,23945,Austrian Grand Prix,grosjean,haas,4,2,9,3
336,23946,Austrian Grand Prix,kevin_magnussen,haas,5,2,17,4
342,23947,Austrian Grand Prix,ocon,force_india,6,2,23,4
352,23948,Austrian Grand Prix,perez,force_india,7,3,33,4
343,23949,Austrian Grand Prix,alonso,mclaren,8,3,24,4
355,23950,Austrian Grand Prix,leclerc,sauber,9,3,36,4
359,23951,Austrian Grand Prix,ericsson,sauber,10,3,40,4
345,23952,Austrian Grand Prix,gasly,toro_rosso,11,4,26,4
339,23953,Austrian Grand Prix,sainz,renault,12,4,20,4
354,23954,Austrian Grand Prix,sirotkin,williams,13,4,35,4
348,23955,Austrian Grand Prix,stroll,williams,14,4,29,4
350,23956,Austrian Grand Prix,vandoorne,mclaren,15,4,31,4
320,23957,Austrian Grand Prix,hamilton,mercedes,0,4,1,1
357,23958,Austrian Grand Prix,brendon_hartley,toro_rosso,0,4,38,4
334,23959,Austrian Grand Prix,ricciardo,red_bull,0,4,15,4
322,23960,Austrian Grand Prix,bottas,mercedes,0,4,3,1
341,23961,Austrian Grand Prix,hulkenberg,renault,0,4,22,4
363,23962,British Grand Prix,vettel,ferrari,1,1,4,2
360,23963,British Grand Prix,hamilton,mercedes,2,1,1,1
